Graph,Machine,Algorithm,TimeToCompute(ms),BspCost,CommCost,Supersteps,WorkCost,avg_wavefront_size,num_edges,num_vertices
instance_kNN_N55_K14_nzP0d15,p16_g4_l20,GreedyRecomputerMask0,2037,3931,2728,25,1203,247.892857,17244,6941
instance_kNN_N55_K14_nzP0d15,p16_g4_l20,GreedyRecomputerMask1,2139,3564,2288,25,1276,247.892857,17244,6941
instance_kNN_N55_K14_nzP0d15,p16_g4_l20,GreedyRecomputerMask3,2468,3451,2124,21,1327,247.892857,17244,6941
instance_kNN_N55_K14_nzP0d15,p16_g4_l20,GreedyRecomputerMask7,3851,3451,2124,21,1327,247.892857,17244,6941
instance_kNN_N55_K14_nzP0d15,p16_g4_l20,GreedyRecomputerMask2,2369,3838,2588,21,1250,247.892857,17244,6941
instance_kNN_N55_K14_nzP0d15,p16_g4_l20,GreedyRecomputerMask4,2861,3931,2728,25,1203,247.892857,17244,6941
instance_kNN_N55_K14_nzP0d15,p16_g4_l20,GreedyBspHC,1827,4435,3232,25,1203,247.892857,17244,6941
instance_exp_N30_K8_nzP0d15,p16_g4_l20,GreedyRecomputerMask0,317,999,768,15,231,87.187500,3024,1395
instance_exp_N30_K8_nzP0d15,p16_g4_l20,GreedyRecomputerMask1,334,921,676,15,245,87.187500,3024,1395
instance_exp_N30_K8_nzP0d15,p16_g4_l20,GreedyRecomputerMask3,391,868,572,12,296,87.187500,3024,1395
instance_exp_N30_K8_nzP0d15,p16_g4_l20,GreedyRecomputerMask7,644,868,572,12,296,87.187500,3024,1395
instance_exp_N30_K8_nzP0d15,p16_g4_l20,GreedyRecomputerMask2,386,939,652,12,287,87.187500,3024,1395
instance_exp_N30_K8_nzP0d15,p16_g4_l20,GreedyRecomputerMask4,394,999,768,15,231,87.187500,3024,1395
instance_exp_N30_K8_nzP0d15,p16_g4_l20,GreedyBspHC,296,1091,860,15,231,87.187500,3024,1395
instance_kNN_N100_K50_nzP0d1,p16_g4_l20,GreedyRecomputerMask0,9366,26757,16868,84,9889,565.210000,151731,56521
instance_kNN_N100_K50_nzP0d1,p16_g4_l20,GreedyRecomputerMask1,11165,25275,15028,84,10247,565.210000,151731,56521
instance_kNN_N100_K50_nzP0d1,p16_g4_l20,GreedyRecomputerMask3,14507,25215,14948,83,10267,565.210000,151731,56521
instance_kNN_N100_K50_nzP0d1,p16_g4_l20,GreedyRecomputerMask7,25656,25215,14948,83,10267,565.210000,151731,56521
instance_kNN_N100_K50_nzP0d1,p16_g4_l20,GreedyRecomputerMask2,13195,26681,16688,82,9993,565.210000,151731,56521
instance_kNN_N100_K50_nzP0d1,p16_g4_l20,GreedyRecomputerMask4,17212,26757,16868,84,9889,565.210000,151731,56521
instance_kNN_N100_K50_nzP0d1,p16_g4_l20,GreedyBspHC,8191,29779,19892,84,9887,565.210000,151731,56521
msc10848,p16_g4_l20,GreedyRecomputerMask0,11418,89130,11068,70,78062,18.386441,609465,10848
msc10848,p16_g4_l20,GreedyRecomputerMask1,15042,88114,9864,70,78250,18.386441,609465,10848
msc10848,p16_g4_l20,GreedyRecomputerMask3,18084,87827,9716,64,78111,18.386441,609465,10848
msc10848,p16_g4_l20,GreedyRecomputerMask7,54890,87827,9716,64,78111,18.386441,609465,10848
msc10848,p16_g4_l20,GreedyRecomputerMask2,14007,88729,10884,63,77845,18.386441,609465,10848
msc10848,p16_g4_l20,GreedyRecomputerMask4,33760,89106,11044,70,78062,18.386441,609465,10848
msc10848,p16_g4_l20,GreedyBspHC,9094,97661,19504,79,78157,18.386441,609465,10848
plants.psdd,p16_g4_l20,GreedyRecomputerMask0,7708,13014,8992,14,4022,3341.473684,167486,63488
plants.psdd,p16_g4_l20,GreedyRecomputerMask1,9841,12568,8412,14,4156,3341.473684,167486,63488
plants.psdd,p16_g4_l20,GreedyRecomputerMask3,14332,11917,7012,12,4905,3341.473684,167486,63488
plants.psdd,p16_g4_l20,GreedyRecomputerMask7,27483,11917,7012,12,4905,3341.473684,167486,63488
plants.psdd,p16_g4_l20,GreedyRecomputerMask2,10799,12401,7532,12,4869,3341.473684,167486,63488
plants.psdd,p16_g4_l20,GreedyRecomputerMask4,16769,13014,8992,14,4022,3341.473684,167486,63488
plants.psdd,p16_g4_l20,GreedyBspHC,6671,14285,10268,14,4017,3341.473684,167486,63488
cvxbqp1,p16_g4_l20,GreedyRecomputerMask0,5612,19168,9692,16,9476,2083.333333,149984,50000
cvxbqp1,p16_g4_l20,GreedyRecomputerMask1,19627,17083,7368,16,9715,2083.333333,149984,50000
cvxbqp1,p16_g4_l20,GreedyRecomputerMask3,21702,17030,7308,13,9722,2083.333333,149984,50000
cvxbqp1,p16_g4_l20,GreedyRecomputerMask7,35176,17030,7308,13,9722,2083.333333,149984,50000
cvxbqp1,p16_g4_l20,GreedyRecomputerMask2,8435,17836,6224,12,11612,2083.333333,149984,50000
cvxbqp1,p16_g4_l20,GreedyRecomputerMask4,14878,19168,9692,16,9476,2083.333333,149984,50000
cvxbqp1,p16_g4_l20,GreedyBspHC,4724,19485,10016,16,9469,2083.333333,149984,50000
asia.uai.psdd,p16_g4_l20,GreedyRecomputerMask0,6,122,112,5,10,8.600000,62,43
asia.uai.psdd,p16_g4_l20,GreedyRecomputerMask1,7,92,80,4,12,8.600000,62,43
asia.uai.psdd,p16_g4_l20,GreedyRecomputerMask3,7,42,0,1,42,8.600000,62,43
asia.uai.psdd,p16_g4_l20,GreedyRecomputerMask7,14,42,0,1,42,8.600000,62,43
asia.uai.psdd,p16_g4_l20,GreedyRecomputerMask2,7,42,0,1,42,8.600000,62,43
asia.uai.psdd,p16_g4_l20,GreedyRecomputerMask4,15,108,96,4,12,8.600000,62,43
asia.uai.psdd,p16_g4_l20,GreedyBspHC,5,130,120,5,10,8.600000,62,43
2cubes_sphere,p16_g4_l20,GreedyRecomputerMask0,909580,466686,289016,8240,177670,7.083473,772886,101492
2cubes_sphere,p16_g4_l20,GreedyRecomputerMask1,927380,464511,286504,8240,178007,7.083473,772886,101492
2cubes_sphere,p16_g4_l20,GreedyRecomputerMask3,950535,433256,252652,6003,180604,7.083473,772886,101492
2cubes_sphere,p16_g4_l20,GreedyRecomputerMask7,1027919,432303,251564,6000,180739,7.083473,772886,101492
2cubes_sphere,p16_g4_l20,GreedyRecomputerMask2,930943,436488,256204,5972,180284,7.083473,772886,101492
2cubes_sphere,p16_g4_l20,GreedyRecomputerMask4,949882,466538,288848,8234,177690,7.083473,772886,101492
2cubes_sphere,p16_g4_l20,GreedyBspHC,906355,558836,381224,8505,177612,7.083473,772886,101492
instance_CG_N21_K5_nzP0d3,p16_g4_l20,GreedyRecomputerMask0,269,2822,2284,35,538,32.000000,3996,1888
instance_CG_N21_K5_nzP0d3,p16_g4_l20,GreedyRecomputerMask1,285,2783,2236,35,547,32.000000,3996,1888
instance_CG_N21_K5_nzP0d3,p16_g4_l20,GreedyRecomputerMask3,418,2649,2064,28,585,32.000000,3996,1888
instance_CG_N21_K5_nzP0d3,p16_g4_l20,GreedyRecomputerMask7,828,2649,2064,28,585,32.000000,3996,1888
instance_CG_N21_K5_nzP0d3,p16_g4_l20,GreedyRecomputerMask2,365,2693,2112,30,581,32.000000,3996,1888
instance_CG_N21_K5_nzP0d3,p16_g4_l20,GreedyRecomputerMask4,475,2788,2236,33,552,32.000000,3996,1888
instance_CG_N21_K5_nzP0d3,p16_g4_l20,GreedyBspHC,241,2974,2436,36,538,32.000000,3996,1888
msnbc-yitao-d.psdd,p16_g4_l20,GreedyRecomputerMask0,702,1660,1388,6,272,848.000000,6908,4240
msnbc-yitao-d.psdd,p16_g4_l20,GreedyRecomputerMask1,870,1332,952,6,380,848.000000,6908,4240
msnbc-yitao-d.psdd,p16_g4_l20,GreedyRecomputerMask3,957,1238,620,4,618,848.000000,6908,4240
msnbc-yitao-d.psdd,p16_g4_l20,GreedyRecomputerMask7,1573,1238,620,4,618,848.000000,6908,4240
msnbc-yitao-d.psdd,p16_g4_l20,GreedyRecomputerMask2,813,1238,620,4,618,848.000000,6908,4240
msnbc-yitao-d.psdd,p16_g4_l20,GreedyRecomputerMask4,959,1660,1388,6,272,848.000000,6908,4240
msnbc-yitao-d.psdd,p16_g4_l20,GreedyBspHC,646,1664,1392,6,272,848.000000,6908,4240
smt,p16_g4_l20,GreedyRecomputerMask0,198818,482298,62812,952,419486,5.519536,1863737,25710
smt,p16_g4_l20,GreedyRecomputerMask1,203588,481677,62112,952,419565,5.519536,1863737,25710
smt,p16_g4_l20,GreedyRecomputerMask3,213741,477357,59436,810,417921,5.519536,1863737,25710
