Graph,Machine,Algorithm,TimeToCompute(ms),Cost,IsOptimal,Gap
bcspwr04,p2_125,ILP,5110,9,True,0%
bcspwr04,p2_125,ILP,5070,9,True,0%
bcspwr04,p2_125,ILP_dupl,22380,7,True,0%
bcspwr04,p2_125,ILP_dupl,22370,7,True,0%
bcspwr04,p2_125,ILP_repl,48370,7,True,0%
bcspwr04,p2_125,ILP_repl,48470,7,True,0%
bcspwr04,p2_250,ILP,4210,9,True,0%
bcspwr04,p2_250,ILP_dupl,21780,5,True,0%
bcspwr04,p2_250,ILP_repl,92800,5,True,0%
bcspwr04,p4_10,ILP,296440,18,True,0%
bcspwr04,p4_10,ILP_dupl,18000440,6,False,157.8%
bcspwr04,p4_10,ILP_repl,17169840,4,True,0%
bcspwr04,p4_250,ILP,308190,22,True,0%
bcspwr04,p4_250,ILP_dupl,18000210,17,False,33.61%
bcspwr04,p4_250,ILP_repl,11997000,16,True,0%
bcspwr04,p8_10,ILP,16772340,39,True,0%
bcspwr04,p8_10,ILP_dupl,18015010,221,False,112.1%
bcspwr04,p8_10,ILP_repl,18001040,339,False,100%
d_dyn,p2_125,ILP,5920,5,True,0%
d_dyn,p2_125,ILP,5920,5,True,0%
d_dyn,p2_125,ILP_dupl,27910,3,True,0%
d_dyn,p2_125,ILP_dupl,27970,3,True,0%
d_dyn,p2_125,ILP_repl,24370,3,True,0%
d_dyn,p2_125,ILP_repl,24400,3,True,0%
d_dyn,p2_250,ILP,3280,5,True,0%
d_dyn,p2_250,ILP_dupl,39270,1,True,0%
d_dyn,p2_250,ILP_repl,12500,1,True,0%
d_dyn,p4_10,ILP,1737110,14,True,0%
d_dyn,p4_10,ILP_dupl,18000090,1,False,100%
d_dyn,p4_10,ILP_repl,417530,0,True,0%
d_dyn,p4_250,ILP,3600060,15,True,0%
d_dyn,p4_250,ILP_dupl,18000040,11,False,85.48%
d_dyn,p4_250,ILP_repl,18000150,10,False,36.35%
d_dyn,p8_10,ILP,18000070,26,False,51.43%
d_dyn,p8_10,ILP_dupl,18000570,81,False,123.8%
d_dyn,p8_10,ILP_repl,18000130,8,False,100%
impcol_e,p2_125,ILP,4220,17,True,0%
impcol_e,p2_125,ILP,4500,17,True,0%
impcol_e,p2_125,ILP_dupl,9910,15,True,0%
impcol_e,p2_125,ILP_dupl,9740,15,True,0%
impcol_e,p2_125,ILP_repl,41830,15,True,0%
impcol_e,p2_125,ILP_repl,42300,15,True,0%
impcol_e,p2_250,ILP,4190,15,True,0%
impcol_e,p2_250,ILP_dupl,15700,11,True,0%
impcol_e,p2_250,ILP_repl,37320,11,True,0%
impcol_e,p4_10,ILP,288530,50,True,0%
impcol_e,p4_10,ILP_dupl,18000310,30,False,73.73%
impcol_e,p4_10,ILP_repl,18000050,26,False,42.73%
impcol_e,p4_250,ILP,470300,59,True,0%
impcol_e,p4_250,ILP_dupl,13708680,47,True,0%
impcol_e,p4_250,ILP_repl,8239530,47,True,0%
impcol_e,p8_10,ILP,18000130,125,False,21.23%
impcol_e,p8_10,ILP_dupl,18003630,194,False,112.5%
impcol_e,p8_10,ILP_repl,18000230,262,False,89.85%
mesh1e1,p2_125,ILP,5950,9,True,0%
mesh1e1,p2_125,ILP,5920,9,True,0%
mesh1e1,p2_125,ILP_dupl,39380,7,True,0%
mesh1e1,p2_125,ILP_dupl,39360,7,True,0%
mesh1e1,p2_125,ILP_repl,114590,7,True,0%
mesh1e1,p2_125,ILP_repl,114710,7,True,0%
mesh1e1,p2_250,ILP,5170,9,True,0%
mesh1e1,p2_250,ILP_dupl,43900,6,True,0%
mesh1e1,p2_250,ILP_repl,116570,6,True,0%
mesh1e1,p4_10,ILP,5695860,17,True,0%
mesh1e1,p4_10,ILP_dupl,18000100,6,False,124.3%
mesh1e1,p4_10,ILP_repl,18000070,6,False,62.21%
mesh1e1,p4_250,ILP,8081590,18,True,0%
mesh1e1,p4_250,ILP_dupl,18000140,16,False,77.53%
mesh1e1,p4_250,ILP_repl,18000150,12,False,42.04%
mesh1e1,p8_10,ILP,18000030,31,False,58.45%
mesh1e1,p8_10,ILP_dupl,18000850,65,False,115.4%
mesh1e1,p8_10,ILP_repl,18000030,19,False,100%
mmlu_deepseek_layer5_pins1000_nonIso,p2_125,ILP,12920,57,True,0%
mmlu_deepseek_layer5_pins1000_nonIso,p2_125,ILP,15810,57,True,0%
mmlu_deepseek_layer5_pins1000_nonIso,p2_125,ILP_dupl,223430,53,True,0%
mmlu_deepseek_layer5_pins1000_nonIso,p2_125,ILP_dupl,268320,53,True,0%
mmlu_deepseek_layer5_pins1000_nonIso,p2_125,ILP_repl,329510,53,True,0%
mmlu_deepseek_layer5_pins1000_nonIso,p2_125,ILP_repl,377230,53,True,0%
mmlu_deepseek_layer5_pins1000_nonIso,p2_250,ILP,5660,56,True,0%
mmlu_deepseek_layer5_pins1000_nonIso,p2_250,ILP_dupl,404810,43,True,0%
mmlu_deepseek_layer5_pins1000_nonIso,p2_250,ILP_repl,5742360,43,True,0%
mmlu_deepseek_layer5_pins1000_nonIso,p4_10,ILP,7087800,124,True,0%
mmlu_deepseek_layer5_pins1000_nonIso,p4_10,ILP_dupl,18000170,179,False,104.8%
mmlu_deepseek_layer5_pins1000_nonIso,p4_10,ILP_repl,18000030,342,False,100%
mmlu_deepseek_layer5_pins1000_nonIso,p4_250,ILP,9839030,131,True,0%
mmlu_deepseek_layer5_pins1000_nonIso,p4_250,ILP_dupl,18000140,123,False,91.44%
mmlu_deepseek_layer5_pins1000_nonIso,p4_250,ILP_repl,18000060,143,False,91.2%
mmlu_deepseek_layer5_pins1000_nonIso,p8_10,ILP,18000240,245,False,78.71%
mmlu_deepseek_layer5_pins1000_nonIso,p8_10,ILP_dupl,18002070,493,False,107.9%
mmlu_deepseek_layer5_pins1000_nonIso,p8_10,ILP_repl,18001010,571,False,100%
mmlu_deepseek_layer5_pins1000_set2_nonIso,p2_125,ILP,6930,62,True,0%
