Graph,Machine,Algorithm,TimeToCompute(ms),Cost,IsOptimal,Gap
west0132,p8_10,ILP,18000580,39,False,73.12%
west0132,p8_10,ILP,6776000,117,False,93.20%
west0132,p8_10,ILP_dupl,18000120,98,False,128.8%
west0132,p8_10,ILP_repl,18000200,12,False,100%
rajat14,p8_10,ILP,18000110,323,False,1.9%
rajat14,p8_10,ILP_dupl,18002070,401,False,48.24%
rajat14,p8_10,ILP_repl,18001370,426,False,41.5%
mmlu_deepseek_layer7_pins1000_nonIso,p8_10,ILP,8632000,440,False,80.22%
mmlu_deepseek_layer6_pins1000_set2_nonIso,p8_10,ILP,18000030,352,False,15.18%
mmlu_deepseek_layer6_pins1000_set2_nonIso,p8_10,ILP_dupl,8390000,618,False,159.74%
mmlu_deepseek_layer6_pins1000_nonIso,p8_10,ILP,18000180,494,False,60.37%
mmlu_deepseek_layer6_pins1000_nonIso,p8_10,ILP_dupl,18002160,612,False,106.5%
mmlu_deepseek_layer6_pins1000_nonIso,p8_10,ILP_repl,18000530,711,False,100%
mmlu_deepseek_layer5_pins1000_set2_nonIso,p8_10,ILP,18000170,164,False,12.31%
mmlu_deepseek_layer5_pins1000_set2_nonIso,p8_10,ILP_dupl,18003140,463,False,143.3%
mmlu_deepseek_layer5_pins1000_set2_nonIso,p8_10,ILP_repl,18000550,570,False,100%
mmlu_deepseek_layer5_pins1000_nonIso,p8_10,ILP,18000240,245,False,78.71%
mmlu_deepseek_layer5_pins1000_nonIso,p8_10,ILP_dupl,18002070,493,False,107.9%
mmlu_deepseek_layer5_pins1000_nonIso,p8_10,ILP_repl,18001010,571,False,100%
mesh1e1,p8_10,ILP,18000030,31,False,58.45%
mesh1e1,p8_10,ILP_dupl,18000850,65,False,115.4%
mesh1e1,p8_10,ILP_repl,18000030,19,False,100%
impcol_e,p8_10,ILP,18000130,125,False,21.23%
impcol_e,p8_10,ILP_dupl,18003630,194,False,112.5%
impcol_e,p8_10,ILP_repl,18000230,262,False,89.85%
d_dyn,p8_10,ILP,18000070,26,False,51.43%
d_dyn,p8_10,ILP_dupl,18000570,81,False,123.8%
