1: 8, 57, 56, 51, 43, 44
2: 62, 4, 23, 48, 11, 14
3: 48, 45, 5, 46, 0, 60
4: 29, 34, 60, 33, 18, 49
5: 8, 38, 47, 9, 54, 20
6: 1, 22, 46, 47, 13, 39
7: 6, 24, 18, 46, 58, 43
8: 54, 39, 63, 30, 47, 40
9: 22, 32, 50, 13, 12, 17
10: 13, 27, 19, 42, 41, 59
11: 43, 15, 40, 1, 61, 29
12: 4, 47, 38, 29, 59, 26
13: 6, 58, 9, 47, 17, 14
14: 51, 7, 3, 15, 27, 31
15: 0, 14, 5, 49, 24, 47
16: 41, 33, 63, 9, 61, 13
17: 9, 0, 26, 32, 1, 62
18: 56, 50, 32, 53, 5, 42
19: 2, 19, 58, 36, 37, 40
20: 1, 38, 56, 36, 10, 61
21: 19, 1, 28, 13, 15, 62
22: 63, 48, 32, 45, 5, 35
23: 58, 11, 40, 33, 42, 60
24: 50, 42, 37, 62, 19, 7
25: 63, 2, 12, 10, 41, 42
26: 49, 46, 13, 7, 8, 6
%%%%%%%%%%%%%%%%%%%%%%

1: 44, 43, 8, 51, 31, 1
2: 3, 18, 13, 31, 44, 16
3: 23, 54, 41, 25, 57, 28
4: 49, 33, 21, 37, 11, 14
5: 52, 9, 20, 47, 35, 54
6: 22, 45, 1, 13, 47, 42
7: 43, 44, 62, 58, 24, 18
8: 54, 58, 47, 56, 36, 4
9: 22, 12, 32, 24, 50, 13
10: 13, 2, 42, 19, 36, 28
11: 11, 1, 29, 26, 22, 59
12: 4, 59, 26, 5, 3, 63
13: 47, 14, 58, 17, 4, 42
14: 51, 7, 27, 31, 61, 23
15: 55, 24, 41, 14, 5, 17
16: 63, 33, 9, 61, 19, 49
17: 0, 26, 29, 43, 27, 32
18: 56, 36, 5, 1, 2, 42
19: 23, 40, 0, 36, 2, 37
20: 38, 1, 20, 48, 58, 61
21: 19, 28, 15, 5, 13, 4
22: 32, 14, 30, 45, 31, 3
23: 58, 45, 33, 20, 39, 42
24: 63, 47, 15, 42, 62, 7
25: 46, 38, 11, 33, 13, 48
26: -1, -1, -1, -1, -1, -1
%%%%%%%%%%%%%%%%%%%%%%


1: 8, 57, 56, 51, 43, 44
2: 62, 4, 23, 48, 14, 11
3: 48, 45, 5, 46, 0, 60
4: 29, 34, 33, 60, 49, 18
5: 8, 38, 47, 9, 54, 20
6: 1, 22, 47, 46, 13, 39
7: 6, 24, 18, 46, 43, 34
8: 54, 47, 63, 39, 30, 58
9: 22, 32, 50, 13, 12, 17
10: 13, 27, 19, 42, 59, 41
11: 43, 15, 1, 40, 61, 29
12: 4, 47, 38, 29, 59, 26
13: 6, 58, 9, 47, 17, 14
14: 51, 7, 3, 15, 27, 31
15: 0, 14, 5, 24, 49, 47
16: 41, 33, 63, 9, 61, 13
17: 9, 0, 26, 32, 53, 62
18: 56, 50, 32, 53, 5, 42
19: 2, 19, 58, 36, 37, 40
20: 1, 38, 56, 36, 10, 61
21: 19, 1, 28, 15, 13, 10
22: 63, 48, 32, 45, 5, 35
23: 58, 11, 40, 33, 42, 60
24: 50, 42, 62, 7, 19, 37
25: 63, 2, 12, 10, 41, 25
26: 63, 33, 1, 53, 59, 48
%%%%%%%%%%%%%%%%%%%%%%

1: 8, 7, 61, 39, 34, 2
2: 42, 63, 35, 61, 20, 57
3: 54, 29, 14, 0, 36, 33
4: 33, 49, 21, 37, 27, 54
5: 35, 52, 19, 7, 54, 34
6: 22, 42, 45, 4, 30, 32
7: 43, 44, 15, 58, 62, 2
8: 54, 9, 58, 57, 47, 53
9: 22, 31, 63, 12, 27, 37
10: 13, 8, 47, 34, 22, 25
11: 11, 48, 22, 32, 56, 29
12: 4, 18, 0, 63, 50, 15
13: 47, 42, 34, 11, 63, 54
14: 51, 42, 8, 45, 38, 27
15: 55, 37, 14, 28, 17, 43
16: 63, 37, 13, 19, 26, 45
17: 26, 11, 48, 29, 18, 37
18: 56, 5, 47, 39, 50, 35
19: 40, 23, 2, 56, 0, 5
20: 38, 51, 1, 20, 57, 39
21: 19, 30, 15, 54, 50, 18
22: 3, 32, 8, 47, 25, 1
23: 45, 58, 56, 5, 33, 39
24: 63, 24, 8, 10, 15, 4
25: 11, 39, 38, 45, 46, 33
26: 56, 36, 27, 52, 50, 30
%%%%%%%%%%%%%%%%%%%%%%

1: 55, 52, 8, 43, 57, 25
2: 19, 28, 51, 24, 46, 47
3: 13, 7, 9, 54, 0, 22
4: 29, 25, 26, 57, 34, 45
5: 41, 38, 10, 56, 39, 55
6: 35, 39, 15, 56, 37, 33
7: 41, 50, 8, 38, 33, 12
8: 33, 40, 6, 2, 63, 46
9: 23, 50, 45, 30, 38, 39
10: 59, 27, 49, 41, 12, 33
11: 43, 34, 62, 16, 40, 61
