Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.05094819,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.05131243,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.05153345,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.05146919,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.05179127,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.05200408,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.05255209,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.05102293,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.05003353,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.05011750,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.05008115,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04978683,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04938807,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04911509,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04887488,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04872969,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04910427,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04949371,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04931783,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04971179,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04979090,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04970877,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04889688,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04874397,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04876867,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04901999,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04881398,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04868508,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04878170,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04875801,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04887842,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04867638,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04830534,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04880268,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04894973,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04923363,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04908180,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04937846,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04930343,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04960720,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04978737,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04963165,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04984425,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04943998,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04984682,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.05011434,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.05017621,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04981112,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04942698,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04920440,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04923915,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04906363,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04889674,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04874398,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04865178,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04863815,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04866484,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04921421,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04899540,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04944478,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04993506,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04941375,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04902996,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04906424,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04937539,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04943087,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04931031,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04957522,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04956501,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04892446,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04904027,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04919608,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04881132,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04909073,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04901331,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04922076,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04896670,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04935556,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04914296,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04930103,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04947460,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04945214,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04967180,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04957516,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04964682,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04966650,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04975170,,,1,,,0
scratch/toni/all_erdos_renyi_graphs/ErdosRenyi_100k_19m_A,p22,Serial_sympiler,NONE,0.04980708,,,1,,,0
