Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01574494,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01566903,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01559966,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01577715,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01566562,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01561175,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01556636,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01579948,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01577684,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01560163,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01573592,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01571809,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01572449,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01561742,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01578194,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01571515,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01563583,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01558705,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.0155569,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01571178,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01562516,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01557771,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01558231,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01577584,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01578004,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01575111,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01560248,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01577,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01571573,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01574697,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01560616,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01554577,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01576755,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.0156582,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01558502,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01556737,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01578568,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01569775,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01558861,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01557985,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01557369,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01579179,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01576801,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01573197,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01572636,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01560065,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01555949,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.015727,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01563712,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01556964,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01569346,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01556431,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.0156513,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01558647,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01554644,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01570928,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.0156273,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01556533,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01556078,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01577929,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01572843,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01555592,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01556613,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.0156073,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01570535,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.0157169,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01558477,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01563812,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01570885,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01558115,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01554896,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.0156124,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01559133,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.0155562,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01558594,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01576118,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01568423,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01555555,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01581214,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01581981,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01556311,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.0157831,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01579871,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01576226,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01562466,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01554266,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01577964,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01570196,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01555671,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01556849,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01577735,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01567687,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01556762,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01576587,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01569211,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01568295,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01566574,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01554651,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01573393,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01572799,,,1,,,0
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01290735,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.0125411,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01260405,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01265663,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01266448,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01275208,,,6765,,,2197
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01263556,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01268291,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01263676,,,6765,,,2197
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01276844,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01268974,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01268801,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01269376,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01254044,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01271768,,,6765,,,2195
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01262503,,,6765,,,2195
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01251485,,,6765,,,2195
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01273529,,,6765,,,2195
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.0126618,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01270095,,,6765,,,2197
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01272216,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01260918,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01264742,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01243853,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01274807,,,6765,,,2195
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01274561,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01262224,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01267701,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01281733,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01264926,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01263158,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01256746,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.0127086,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01256922,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01265353,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01262635,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01259527,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01273289,,,6765,,,2197
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01276604,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01261931,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01257378,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01263404,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01255009,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01254671,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01276341,,,6765,,,2195
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01264396,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01264745,,,6765,,,2195
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01272096,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01264862,,,6765,,,2195
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01266565,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01276651,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01265814,,,6765,,,2196
scratch/toni/wavefront_ge44_graphs/af_0_k101,p22,Wavefront_sympiler,NONE,0.01267142,,,6765,,,2196
