Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time
scratch/toni/wavefront_ge44_iChol_graphs/af_0_k101_postChol,p22,Serial_sympiler,NONE,0.01742027,,,1,,,0
scratch/toni/wavefront_ge44_iChol_graphs/af_0_k101_postChol,p22,Serial_sympiler,NONE,0.01737217,,,1,,,0
scratch/toni/wavefront_ge44_iChol_graphs/af_0_k101_postChol,p22,Serial_sympiler,NONE,0.01757584,,,1,,,0
scratch/toni/wavefront_ge44_iChol_graphs/af_0_k101_postChol,p22,Serial_sympiler,NONE,0.01755029,,,1,,,0
scratch/toni/wavefront_ge44_iChol_graphs/af_0_k101_postChol,p22,Serial_sympiler,NONE,0.01743716,,,1,,,0
scratch/toni/wavefront_ge44_iChol_graphs/af_0_k101_postChol,p22,Serial_sympiler,NONE,0.01730409,,,1,,,0
scratch/toni/wavefront_ge44_iChol_graphs/af_0_k101_postChol,p22,Serial_sympiler,NONE,0.01729667,,,1,,,0
scratch/toni/wavefront_ge44_iChol_graphs/af_0_k101_postChol,p22,Serial_sympiler,NONE,0.01743031,,,1,,,0
scratch/toni/wavefront_ge44_iChol_graphs/af_0_k101_postChol,p22,Serial_sympiler,NONE,0.01734342,,,1,,,0
scratch/toni/wavefront_ge44_iChol_graphs/af_0_k101_postChol,p22,Serial_sympiler,NONE,0.01729425,,,1,,,0
scratch/toni/wavefront_ge44_iChol_graphs/af_0_k101_postChol,p22,Serial_sympiler,NONE,0.01724926,,,1,,,0
scratch/toni/wavefront_ge44_iChol_graphs/af_0_k101_postChol,p22,Serial_sympiler,NONE,0.01742801,,,1,,,0
scratch/toni/wavefront_ge44_iChol_graphs/af_0_k101_postChol,p22,Serial_sympiler,NONE,0.01732486,,,1,,,0
scratch/toni/wavefront_ge44_iChol_graphs/af_0_k101_postChol,p22,Serial_sympiler,NONE,0.01727911,,,1,,,0
scratch/toni/wavefront_ge44_iChol_graphs/af_0_k101_postChol,p22,Serial_sympiler,NONE,0.01726053,,,1,,,0
scratch/toni/wavefront_ge44_iChol_graphs/af_0_k101_postChol,p22,Serial_sympiler,NONE,0.01742010,,,1,,,0
scratch/toni/wavefront_ge44_iChol_graphs/af_0_k101_postChol,p22,Serial_sympiler,NONE,0.01729235,,,1,,,0
scratch/toni/wavefront_ge44_iChol_graphs/af_0_k101_postChol,p22,Serial_sympiler,NONE,0.01725681,,,1,,,0
scratch/toni/wavefront_ge44_iChol_graphs/af_0_k101_postChol,p22,Serial_sympiler,NONE,0.01724212,,,1,,,0
