Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01716230,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01690747,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01682568,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01681688,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01700367,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01685236,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01674836,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01699205,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01692439,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01681241,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01679546,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01674914,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01683651,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01680143,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01674897,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01685038,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01676688,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01691512,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01688550,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01676813,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01676548,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01675478,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01690735,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01676331,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01698172,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01680038,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01674027,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01703084,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01694964,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01679931,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01686585,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01697827,,,1,,,0
scratch/toni/florida_metised/af_0_k101_metis,p22,Serial_sympiler,NONE,0.01678855,,,1,,,0
