Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00133135,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00134029,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00133450,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00132832,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00132492,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00133600,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00133707,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00133672,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00133780,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00132953,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00132736,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00132944,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00132255,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00133975,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00134138,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00132784,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00134248,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00132950,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00133223,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00133975,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00133697,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_146k_A,p22,Serial_sympiler,NONE,0.00132627,,,1,,,0
