Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00133735,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00134655,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00134146,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00135446,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00134958,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00135293,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00134407,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00134457,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00134189,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00133756,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00134802,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00133508,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00135895,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00134566,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00133469,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00135632,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00135205,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00134741,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00134258,,,1,,,0
scratch/toni/all_random_bandwidth_graphs/RandomBand_p14_b10_100k_147k_I,p22,Serial_sympiler,NONE,0.00135510,,,1,,,0
