Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time,Scheduling_Threads
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000339722,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000181946,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00018877,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000181697,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000181568,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000181923,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000181355,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000186568,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000181545,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000182433,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000183616,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000182925,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000181062,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000206539,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000182768,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000182881,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000181232,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000178888,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00019938,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000181855,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000182671,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000181664,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000182772,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000181862,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000185309,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000182545,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000181194,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000182681,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000181399,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000183723,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000188832,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000180112,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000182802,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000181991,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000181418,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000190458,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00018304,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000180314,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000182571,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000180976,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000191029,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00018053,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000183824,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000179348,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000181152,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00018221,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000185782,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000180493,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000183338,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000181133,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000181413,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000180701,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000187028,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000183044,52763,0,18,0,0,772,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000183594,52763,0,18,0,0,772,1
