Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time,Scheduling_Threads
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000664985,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.00065683,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000632544,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000633896,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000637854,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.00064412,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000641823,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000650271,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000666724,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000644252,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000637655,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000648613,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000651121,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000644301,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000640589,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.00066379,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000660114,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000641918,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000654962,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.00065177,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000651234,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000641178,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000670344,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000655653,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000643614,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000658312,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000653532,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000655815,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.00064955,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000658931,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.00065418,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000647512,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000648688,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000654984,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.00065972,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000650414,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000650565,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000656427,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000672624,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000642643,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000653729,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000658726,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000658863,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000645417,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000663745,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.00067451,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000655162,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.00064917,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000652613,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000660599,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000645529,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000647998,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000667444,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000662824,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000653776,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.00065133,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.00065955,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000656794,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000646631,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000672324,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000661659,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000660196,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000651648,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000653313,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000654055,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000647717,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.00065133,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000657299,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000662699,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000651239,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000658965,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.00065368,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000658732,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000650455,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000659286,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000674157,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000657493,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000644492,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000654196,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000652353,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000653095,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000647572,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000669754,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000665379,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000652337,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000653986,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000652232,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000665765,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000647047,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000668515,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000659371,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000661308,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000651092,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000658796,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.0006508,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000648728,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000661147,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000660292,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000663879,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.00064609,265430,0,37,0,0,223,1
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.00103385,318295,0,119,0,0,101,2
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000945213,318295,0,119,0,0,101,2
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000949583,318295,0,119,0,0,101,2
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000959532,318295,0,119,0,0,101,2
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000960566,318295,0,119,0,0,101,2
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000963263,318295,0,119,0,0,101,2
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000952059,318295,0,119,0,0,101,2
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000961649,318295,0,119,0,0,101,2
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000962191,318295,0,119,0,0,101,2
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000962635,318295,0,119,0,0,101,2
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000969509,318295,0,119,0,0,101,2
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000975313,318295,0,119,0,0,101,2
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.00097255,318295,0,119,0,0,101,2
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000975895,318295,0,119,0,0,101,2
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000986018,318295,0,119,0,0,101,2
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000986731,318295,0,119,0,0,101,2
bmwcra_1,p22_g0_l500,SMGreedyBspGrowLocalAutoCoresParallel,LOOP_PROCESSORS,0.000983269,318295,0,119,0,0,101,2
