Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08629837,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08641511,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08639010,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08632714,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08637592,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08641532,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08640759,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08630324,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08632191,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08632903,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08636497,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08630884,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08629104,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08635413,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08630572,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08626579,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08633178,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08632268,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08633396,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08634329,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08629727,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08624428,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08629544,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08652824,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_florida_ARM_missing/Hook_1498,p22,Serial_sympiler,NONE,0.08631429,,,1,,,0
