Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00983272,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0103071,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0107225,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0104857,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0104097,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0104742,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00985472,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0104198,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.010304,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00969584,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0101215,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0103062,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0104602,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00966239,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0104166,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0104855,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0104055,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0103692,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0104531,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0104595,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0097191,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102879,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0103972,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0105457,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0105179,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00987176,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.010527,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.010439,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00967068,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0104977,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0104504,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0104041,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0103051,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0103092,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0103681,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00968124,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.010417,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0104405,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0104285,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0103052,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0103161,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0103831,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00971167,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0104326,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0105208,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0104194,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.010397,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0103655,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00982263,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0104143,3740507,0,1,0,0,170
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0104716,3740507,0,1,0,0,170
