Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time,Scheduling_Threads
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000827259,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00089379,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00086021,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000856649,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00084484,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000849409,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00085895,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00085833,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00085365,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00083827,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.0008644,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00085054,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00085504,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00086337,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000864759,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000842249,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00086279,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00086681,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00086241,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000845179,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00088806,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00088699,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000856859,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00084636,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00084915,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00087839,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00084449,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00085834,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000850379,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00086536,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00086782,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.0008658,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00084557,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00085457,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000849829,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00086046,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00089123,187549,0,14,0,0,298,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00087311,187549,0,14,0,0,298,1
