Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00688062,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00685141,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00710032,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00692363,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.01347987,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00697995,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00690714,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00693157,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00725005,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00703719,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00696981,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00704588,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00691718,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00681686,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00700223,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00689321,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00694271,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.0069218,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00690805,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00690642,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00682253,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00684787,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00694245,,,1,,,0
storage/projects/opdas/test_suite/graph_files/wavefront_ge44_graphs/af_0_k101,p22,Serial_sympiler,NONE,0.00690304,,,1,,,0
