Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00313522,3740507,0,1,0,0,200
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00314645,3740507,0,1,0,0,200
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00312495,3740507,0,1,0,0,200
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00312105,3740507,0,1,0,0,200
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00314851,3740507,0,1,0,0,200
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00316031,3740507,0,1,0,0,200
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00313116,3740507,0,1,0,0,200
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00313978,3740507,0,1,0,0,200
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00309551,3740507,0,1,0,0,200
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00312657,3740507,0,1,0,0,200
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0031342,3740507,0,1,0,0,200
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00313045,3740507,0,1,0,0,200
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00319372,3740507,0,1,0,0,200
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00316936,3740507,0,1,0,0,200
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00313784,3740507,0,1,0,0,200
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00315173,3740507,0,1,0,0,200
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00311145,3740507,0,1,0,0,200
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00312488,3740507,0,1,0,0,200
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00306466,3740507,0,1,0,0,200
bmw7st_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.00307407,3740507,0,1,0,0,200
