Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time,Scheduling_Threads
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000417105,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000433205,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000430486,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000428825,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000423175,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000441426,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000422885,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000423525,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000425245,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000427596,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000634868,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000422945,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000426266,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000417565,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000417065,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000418155,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000414205,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000414325,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000414805,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000417895,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000425545,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000409156,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000418775,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000418095,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000489176,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000421045,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000349004,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000361574,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000372765,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000386645,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000431555,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000405025,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000389596,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000416265,187549,0,14,0,0,159,1
bmw7st_1,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000392815,187549,0,14,0,0,159,1
