Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time,Scheduling_Threads
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000365758,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00035587,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000356256,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000387645,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355126,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000356748,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000353909,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000365271,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000374384,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355848,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355881,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000358153,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000360299,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355487,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355943,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355692,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000365205,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355664,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000354508,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000356333,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000358882,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000353855,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355588,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000353847,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000374753,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000361161,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000354439,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000354395,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000358286,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000374638,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355727,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00035635,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000358892,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000358986,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000353947,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355443,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000356616,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000360767,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355848,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000353214,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000354151,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000361274,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355325,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00035343,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000356219,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000375069,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000363269,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000353711,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355224,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000358056,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000375831,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000354326,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000356662,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355412,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000359225,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000354749,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000353982,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355773,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000361268,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000363529,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355989,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355206,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000361616,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000354899,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355674,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000354861,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000373945,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000360401,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00035585,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355068,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000359716,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000374887,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000353763,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000354713,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355676,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000361284,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000354948,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000353196,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000358274,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000359954,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000356332,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000356334,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000357139,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000364337,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00035651,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000354502,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000353461,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000374443,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000358642,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00035421,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355221,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000357546,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000375285,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000354043,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000355916,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000359897,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00036097,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000354952,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000353808,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000354813,52763,0,18,0,0,762,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowlv2,NO_PERMUTE,0.000360181,52763,0,18,0,0,625,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowlv2,NO_PERMUTE,0.000390031,52763,0,18,0,0,625,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowlv2,NO_PERMUTE,0.000403024,52763,0,18,0,0,625,1
ErdosRenyi_100k_1m_J,p22_g0_l500,SMFunGrowlv2,NO_PERMUTE,0.000355971,52763,0,18,0,0,625,1
