Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time,Scheduling_Threads
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00212057,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00211185,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00210608,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00210546,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208737,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209829,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00211959,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209206,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208438,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208949,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00210073,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208827,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209512,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00210283,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209689,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208594,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208592,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209605,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208458,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209144,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208936,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209248,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209564,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209224,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00210338,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00210281,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209339,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209927,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209127,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208925,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208694,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208309,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.0020959,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208707,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208415,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208684,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209935,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00207991,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.0020943,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208504,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00207552,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209924,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00210343,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00210956,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208921,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209996,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208201,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208837,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208693,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.0021032,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.0020725,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208315,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208229,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00210098,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.0020849,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208655,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208887,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00210178,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208882,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208522,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208495,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208781,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.0020723,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.0020928,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00208921,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00210144,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209671,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.0021082,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209073,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209747,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00207562,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.0020929,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209182,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209633,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00210325,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.0020958,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00207796,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209078,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209481,594815,0,72,0,0,883,1
msdoor,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00209324,594815,0,72,0,0,883,1
