Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time,Scheduling_Threads
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000677462,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000607559,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000606364,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000611539,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000623324,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00061822,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000615404,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000619566,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000638201,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000619946,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000614809,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000633727,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000621944,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00063597,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000621256,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00062689,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000655586,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000622936,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000620729,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000619348,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00061937,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000653287,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000631163,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000622738,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000616028,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00062868,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000638932,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000622305,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000625139,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000623778,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000622533,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000628322,261351,0,9,0,0,494,1
hood_metis,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000620513,261351,0,9,0,0,494,1
