Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time,Scheduling_Threads
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000146714,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000144292,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000151192,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000148107,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000148016,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000150698,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000145354,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000146527,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00014789,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000147758,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000155668,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000145442,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000142822,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000144062,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143645,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000145327,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000144849,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000149817,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143875,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143177,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000146232,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000141769,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000144534,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000147038,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000152813,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143468,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143815,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000144627,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143304,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000146161,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143025,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000149881,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000145816,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000142025,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00014427,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000144888,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000144023,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000141792,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000149719,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00014296,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000142631,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.0001409,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000142721,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000142595,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143524,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000149007,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000144473,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000142634,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000145217,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143715,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143136,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000145197,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000148504,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000141664,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000145251,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000144161,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143707,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143425,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000144654,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000145766,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00014205,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143361,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143616,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00014547,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143038,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143164,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000145568,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143108,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000141524,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143855,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000140821,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143826,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000142177,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000148841,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143618,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143369,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000144188,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000143582,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.00014391,17785,0,8,0,0,111,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,NO_PERMUTE,0.000142264,17785,0,8,0,0,111,1
