Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time,Scheduling_Threads
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000110789,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000109343,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000110448,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000110005,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000107032,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.00010892,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000108785,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000107243,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000109467,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000107598,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000108338,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000108683,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000109121,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000107341,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000108724,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000108017,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000114677,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000108472,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000106611,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000107031,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000125246,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000107171,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000108228,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000107544,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000114172,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000109468,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000108785,17785,0,8,0,0,112,1
RandomBand_p14_b10_100k_146k_F,p22_g0_l500,SMFunGrowl,LOOP_PROCESSORS,0.000105635,17785,0,8,0,0,112,1
