Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102905,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102853,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102798,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102738,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0130855,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102677,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102661,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102722,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102698,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102672,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102744,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102582,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102645,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102574,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102504,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102726,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.010259,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102523,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102563,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102627,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102674,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102532,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102607,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102284,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102562,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102645,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102484,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102635,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102517,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102546,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102606,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102535,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.010257,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102636,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102349,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102558,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.010259,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102401,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102461,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102609,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102307,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102432,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102553,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.010236,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.010248,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102518,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102338,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102471,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102379,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102427,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0102595,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0103824,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0103669,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0103779,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0103726,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0103736,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0103626,5396386,0,1,0,0,306
bmwcra_1,p22_g0_l500,Serial,LOOP_PROCESSORS,0.0103825,5396386,0,1,0,0,306
