Graph,Machine,Algorithm,Permutation,SpTrSV_Runtime,Work_Cost,Base_Comm_Cost,Supersteps,_Base_Buffered_Sending,Base_CostsTotalCommunication,Schedule_Compute_time
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00285733,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00281349,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00299998,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00283624,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00281655,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00281527,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00283392,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00288688,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00282944,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00282549,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00282513,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00283639,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00283534,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00283077,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00285109,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00283857,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00306844,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00284173,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00284129,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00282739,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00286826,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.0028542,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00283593,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00284469,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00283602,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00283864,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.002816,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.0028194,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00302436,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00283813,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00284401,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00283613,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00285704,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00285629,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00284809,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00287312,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00289092,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00284919,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00284933,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.0028654,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00285782,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00285036,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00285326,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00284927,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00285667,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00286481,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00284282,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00283968,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00284351,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.0028447,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00285122,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00285119,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00287426,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.0028556,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00285902,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00287039,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00286255,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.0028525,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00287619,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00286291,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.0028532,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00285576,3740507,0,1,0,0,172
bmw7st_1,p56_g0_l300,Serial,LOOP_PROCESSORS,0.00286651,3740507,0,1,0,0,172
