Graph,Vertices,Edges,Longest_Path,Average_Wavefront_Size,Short_Edges,Median_Edge_Length,Average_Edge_Length,Average_Bottom_Level
RandomBand_p3_b42_100k_127k_F,100000,127137,2096,47.7099,76280,1,171.301,289.139
RandomBand_p3_b42_100k_127k_I,100000,127475,2564,39.0016,76323,1,224.639,386.076
RandomBand_p5_b20_100k_102k_A,100000,102053,77,1298.7,69383,1,3.88008,6.03604
RandomBand_p3_b42_100k_127k_C,100000,127708,3419,29.2483,76393,1,391.158,636.039
RandomBand_p14_b10_100k_146k_B,100000,146328,864,115.741,83097,1,51.3315,127.451
RandomBand_p3_b42_100k_127k_A,100000,127045,2164,46.2107,76109,1,170.786,292.766
RandomBand_p5_b20_100k_102k_C,100000,102021,77,1298.7,69274,1,3.72902,5.80892
RandomBand_p3_b42_100k_127k_G,100000,127774,1889,52.9381,76338,1,204.167,353.878
RandomBand_p14_b10_100k_147k_I,100000,147132,756,132.275,83215,1,43.7517,109.848
RandomBand_p5_b20_100k_102k_D,100000,102968,93,1075.27,69784,1,4.04835,6.2652
RandomBand_p5_b20_100k_102k_E,100000,102650,105,952.381,69456,1,3.97107,6.06624
RandomBand_p14_b10_100k_146k_D,100000,146972,1356,73.7463,83223,1,51.9371,129.272
RandomBand_p3_b42_100k_127k_D,100000,127341,2192,45.6204,76404,1,208.981,359.05
RandomBand_p14_b10_100k_147k_E,100000,147369,1358,73.6377,83265,1,60.8135,152.918
RandomBand_p14_b10_100k_146k_J,100000,146781,948,105.485,83213,1,52.8233,130.365
RandomBand_p14_b10_100k_146k_F,100000,146855,898,111.359,83260,1,53.1315,128.424
RandomBand_p14_b10_100k_147k_G,100000,147350,752,132.979,83173,1,43.9879,108.785
RandomBand_p3_b42_100k_127k_B,100000,127019,1787,55.9597,76298,1,140.418,235.135
RandomBand_p3_b42_100k_127k_H,100000,127029,2135,46.8384,76103,1,189.426,329.912
RandomBand_p14_b10_100k_147k_C,100000,147201,1633,61.237,83362,1,59.2348,154.031
RandomBand_p5_b20_100k_102k_B,100000,102621,94,1063.83,69580,1,3.90741,6.10184
RandomBand_p14_b10_100k_147k_H,100000,147412,1165,85.8369,83238,1,51.1284,127.501
RandomBand_p5_b20_100k_102k_I,100000,102465,73,1369.86,69285,1,3.73052,5.91116
RandomBand_p5_b20_100k_102k_H,100000,102324,84,1190.48,69460,1,3.86811,6.11789
RandomBand_p5_b20_100k_103k_G,100000,103152,112,892.857,69789,1,4.08502,6.30874
RandomBand_p14_b10_100k_146k_A,100000,146565,1144,87.4126,83146,1,50.0724,127.558
RandomBand_p3_b42_100k_127k_J,100000,127275,1598,62.5782,76346,1,146.734,247.875
RandomBand_p5_b20_100k_102k_J,100000,102244,99,1010.1,69398,1,3.94837,6.06308
RandomBand_p3_b42_100k_127k_E,100000,127569,1482,67.4764,76347,1,112.603,189.359
RandomBand_p5_b20_100k_102k_F,100000,102309,86,1162.79,69391,1,3.74749,5.80296
