Graph,Vertices,Edges,Longest_Path,Average_Wavefront_Size,Short_Edges,Median_Edge_Length,Average_Edge_Length,Average_Bottom_Level
ErdosRenyi_100k_5m_D,100000,5001575,247,404.858,111860,70,79.9549,119.761
ErdosRenyi_100k_5m_B,100000,5006107,243,411.523,112095,70,80.0028,115.822
ErdosRenyi_100k_20m_F,100000,20001732,928,107.759,113639,269,306.7,457.674
ErdosRenyi_100k_19m_D,100000,19995405,937,106.724,113490,274,311.138,459.438
ErdosRenyi_100k_1m_F,100000,1000406,56,1785.71,108292,14,16.0906,21.7507
ErdosRenyi_100k_4m_A,100000,4998205,253,395.257,111760,73,82.4423,121.565
ErdosRenyi_100k_5m_I,100000,5001846,250,400,111980,71,81.2019,118.579
ErdosRenyi_100k_20m_J,100000,20003479,915,109.29,113753,267,303.66,456.635
ErdosRenyi_100k_20m_I,100000,20006442,914,109.409,113604,267,304.649,450.171
ErdosRenyi_100k_1m_C,100000,1000315,55,1818.18,108300,14,16.0071,21.9081
ErdosRenyi_100k_1m_E,100000,1000044,60,1666.67,107923,15,16.7111,22.4888
ErdosRenyi_100k_19m_E,100000,19994516,926,107.991,113755,268,304.861,465.867
ErdosRenyi_100k_19m_C,100000,19997897,931,107.411,113370,272,308.74,463.304
ErdosRenyi_100k_1m_H,100000,1001551,53,1886.79,108575,14,15.6367,21.4036
ErdosRenyi_100k_5m_E,100000,5004251,250,400,111558,71,80.8066,119.9
ErdosRenyi_100k_1m_I,100000,1000237,61,1639.34,107305,15,17.3117,22.7904
ErdosRenyi_100k_5m_F,100000,5002190,250,400,111952,72,81.4824,119.659
ErdosRenyi_100k_5m_H,100000,5000573,244,409.836,112323,70,79.3151,116.48
ErdosRenyi_100k_19m_A,100000,19999021,917,109.051,113687,269,305.428,456.719
ErdosRenyi_100k_19m_H,100000,19999989,908,110.132,114107,262,298.694,447.479
ErdosRenyi_100k_4m_G,100000,4999358,249,401.606,111841,72,81.9374,119.593
ErdosRenyi_100k_1m_A,100000,1001528,56,1785.71,108313,14,15.9411,21.905
ErdosRenyi_100k_1m_J,100000,1001533,54,1851.85,108294,14,16.0221,21.7048
ErdosRenyi_100k_19m_B,100000,19998182,917,109.051,113691,268,305.037,451.42
ErdosRenyi_100k_4m_C,100000,4999271,251,398.406,111903,72,81.7941,120.897
ErdosRenyi_100k_999k_D,100000,999915,55,1818.18,108677,14,16.1496,21.718
ErdosRenyi_100k_1m_G,100000,1001171,58,1724.14,108581,14,15.7284,22.6079
ErdosRenyi_100k_1m_B,100000,1000452,55,1818.18,108679,14,15.3749,22.1352
ErdosRenyi_100k_19m_G,100000,19989535,939,106.496,113438,277,314.568,465.826
ErdosRenyi_100k_4m_J,100000,4996501,241,414.938,112227,70,79.9138,112.721
