Graph,Vertices,Edges,Longest_Path,Average_Wavefront_Size,Short_Edges,Median_Edge_Length,Average_Edge_Length,Average_Bottom_Level
bcsstk34,588,10415,128,4.59375,797,6,8.26711,51.2109
mesh3e1,289,800,71,4.07042,490,1,3.3075,20.4256
msc00726,726,16896,112,6.48214,861,10,11.3887,59.0496
lund_b,147,1147,55,2.67273,168,3,3.78727,27.7755
662_bus,662,906,12,55.1667,543,1,1.85541,3.33233
plat362,362,2712,37,9.78378,718,3,6.14049,19.2155
bcsstm06,420,0,1,420,0,0,0,1
Trefethen_200b,199,1337,199,1,198,8,21.6156,100
bcsstk22,138,279,26,5.30769,140,1,2.49462,9.32609
685_bus,685,1282,31,22.0968,653,1,2.83931,5.66861
Trefethen_200,200,1345,200,1,199,8,21.6766,100.5
lund_a,147,1151,55,2.67273,168,3,3.7854,27.7755
bcsstk20,485,1325,179,2.7095,486,2,2.2634,61.2
bcsstk19,817,3018,345,2.36812,830,2,18.5046,149.775
nos1,237,390,79,3,390,1,1,40
494_bus,494,586,11,44.9091,418,1,1.54266,2.59717
bcsstk07,420,3720,88,4.77273,445,5,5.77312,42.0976
Trefethen_150,150,945,150,1,149,8,17.3598,75.5
mesh3em5,289,800,71,4.07042,490,1,3.3075,20.4256
bcsstm22,138,0,1,138,0,0,0,1
bcsstm07,420,3416,88,4.77273,438,5,5.91862,41.2238
mhdb416,416,948,102,4.07843,402,2,2.01793,31.8942
nos6,675,1290,44,15.3409,1290,1,1,20
mesh2e1,306,856,127,2.40945,331,3,20.8353,65.4771
bcsstm05,153,0,1,153,0,0,0,1
Trefethen_300,300,2189,300,1,299,8,30.1138,150.5
Trefethen_700,700,5977,700,1,699,16,61.3309,350.5
bcsstm20,485,0,1,485,0,0,0,1
nos3,960,7442,132,7.27273,1337,3,3.34426,66.4333
bcsstk04,132,1758,82,1.60976,132,11,11.9022,35.3561
gr_30_30,900,3422,88,10.2273,1711,1,1.74576,44.5
Trefethen_500,500,3989,500,1,499,16,42.1456,250.5
bcsstm19,817,0,1,817,0,0,0,1
bcsstk03,112,264,52,2.15385,122,2,1.69697,27.3929
Journals,124,5972,102,1.21569,127,30,33.7905,51.5484
nos5,468,2352,40,11.7,672,2,2.90901,17.844
nos2,957,1590,319,3,1590,1,1,160
nos7,729,1944,25,29.16,1944,1,1,13
bcsstk06,420,3720,88,4.77273,445,5,5.77312,42.0976
bcsstk05,153,1135,59,2.59322,183,4,4.32599,26.9542
mesh2em5,306,856,127,2.40945,331,3,20.8353,65.4771
gridgena,48962,231561,975,50.2174,66473,3,3.56189,408.986
bcsstm25,15439,0,1,15439,0,0,0,1
Trefethen_20000b,19999,267218,19999,1,19998,64,1112.92,10000
nd6k,18000,3439658,5621,3.20228,18132,761,1026.56,2053.39
gyro,17361,501899,2796,6.20923,17545,22,73.8991,1043.25
gyro_M,17361,161535,932,18.6277,17913,8,25.4984,348.086
finan512,74752,261120,516,144.868,85817,3,59.827,104.524
nd24k,72000,14321817,11471,6.2767,72675,1026,1419.79,4108.01
jnlbrng1,40000,79600,399,100.251,79600,1,1,200
crankseg_1,52804,5280703,4056,13.0187,53714,373,784.095,864.087
bcsstk25,15439,118401,880,17.5443,16684,5,10.1766,408.082
m_t1,97578,4827996,4266,22.8734,98050,35,76.9102,2244.01
ship_001,34920,2304655,4907,7.11636,35198,51,300.096,2264.83
Andrews,60000,350077,47,1276.6,62074,8,9.72124,12.7194
msc23052,23052,565881,192,120.062,22676,18,27.7295,50.5475
t2dah_e,11445,82336,885,12.9322,11662,5,6.08618,357.201
vanbody,47072,1144913,2470,19.0575,48121,15,28.7516,864.975
cbuckle_G,13681,251142,1471,9.30048,13841,8,16.399,678.076
cbuckle,13681,331417,1527,8.9594,15055,9,18.4614,765.599
s3dkt3m2,90449,1831506,1495,60.501,105101,7,7.57749,745.409
pdb1HYS,36417,2154174,19244,1.89238,36417,46,956.816,7149.14
crankseg_2,63838,7042510,4395,14.5251,64923,462,870.276,863.873
bodyy5,18589,55346,676,27.4985,27962,1,8.4764,257.862
LF10000,19998,39992,10000,1.9998,39992,1,1,5000.5
LF10000_E,19998,39992,10000,1.9998,39992,1,1,5000.5
LF10000_M,19998,39992,10000,1.9998,39992,1,1,5000.5
shallow_water1,81920,122880,1016,80.6299,81237,1,77.7059,129.983
smt,25710,1863737,4659,5.51835,26013,82,283.537,2131.18
ted_B,10605,66987,1215,8.7284,7266,5,5.84693,365.2
gyro_m,17361,161535,932,18.6277,17913,8,25.4984,348.086
cvxbqp1,50000,149984,25,2000,52649,2,3.32847,5.7469
uni_chimera_i1_A_05,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_18,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_02,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_13,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_07,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_15,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_21,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_06,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_12,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_19,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_04,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_11,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_03,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_26,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_22,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_08,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_27,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_25,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_17,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_24,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_10,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_23,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_16,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_20,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_28,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_14,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_09,100000,500296,29,3448.28,108846,6,7.16849,9.28544
uni_chimera_i1_A_01,100000,500296,29,3448.28,108846,6,7.16849,9.28544
bcsstk18,11948,68571,310,38.5419,11323,6,25.0742,116.432
crystm03,24696,279537,227,108.793,64260,3,3.29849,114
bodyy4,17546,52196,697,25.1736,24030,2,12.1154,266.61
shallow_water2,81920,122880,1016,80.6299,81237,1,77.7059,129.983
s3dkq4m2,90449,2365221,2389,37.8606,104953,9,10.0458,1193.51
Dubcova1,16129,118440,706,22.8456,16148,59,169.726,255.592
gyro_k,17361,501899,2796,6.20923,17545,22,73.8991,1043.25
raefsky4,19779,654416,367,53.8937,27424,9,15.4289,139.309
wathen120,36441,264660,921,39.5668,48200,4,3.81516,460.997
bundle1,10581,380160,10,1058.1,24683,5,4.89518,2.14885
bcsstm39,46772,0,1,46772,0,0,0,1
ted_B_unscaled,10605,66987,1215,8.7284,7266,5,5.84693,365.2
crystm02,13965,154470,167,83.6228,35586,3,3.29443,84
bloweybq,10001,29995,10001,1,10000,2,1668.11,5001
consph,83334,2963573,596,139.822,107929,12,14.6242,232.601
ct20stif,52329,1323067,1331,39.3156,52973,24,112.535,304.755
bcsstk17,10974,208838,1332,8.23874,10879,11,29.7401,776.191
nasasrb,54870,1311227,3624,15.1407,57700,9,30.84,2313.26
oilpan,73752,1761718,3017,24.4455,77267,11,15.2858,1316.61
bcsstk36,23052,560044,4457,5.17209,23914,12,111.847,1769.78
qa8fm,66127,797226,382,173.107,183345,3,3.73965,189.779
denormal,89400,533412,896,99.7768,177903,2,2.16593,448.5
LFAT5000,19994,29986,5000,3.9988,29986,1,1,2500
LFAT5000_M,19994,29986,5000,3.9988,29986,1,1,2500
LFAT5000_E,19994,29986,5000,3.9988,29986,1,1,2500
bodyy6,19366,57691,552,35.0833,31473,1,6.43823,226.487
apache1,80800,230692,207,390.338,230692,1,1,104
Dubcova2,65025,482600,1634,39.795,64865,125,395.955,587.951
obstclae,40000,78804,397,100.756,78410,1,1.49497,198.005
msc10848,10848,609465,591,18.3553,10748,58,129.013,269.552
Pres_Poisson,14822,350491,1854,7.99461,15237,23,136.284,432.343
olafu,16146,499505,1796,8.98998,16843,15,22.9556,1019.09
uni_chimera_i5_A_08,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_10,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_03,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_15,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_04,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_11,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_20,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_02,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_12,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_22,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_19,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_17,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_16,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_21,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_06,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_14,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_09,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_01,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_13,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_07,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_23,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_18,100000,199991,18,5555.56,90432,2,3.12524,3.91068
uni_chimera_i5_A_05,100000,199991,18,5555.56,90432,2,3.12524,3.91068
thermal1,82654,245902,971,85.1226,72540,5,95.567,76.0496
thread,29736,2220156,1446,20.5643,31201,86,147.698,422.028
nd12k,36000,7092473,7561,4.76127,36324,861,1198.24,2646.94
Trefethen_20000,20000,267233,20000,1,19999,64,1112.98,10000.5
wathen100,30401,220600,801,37.9538,40200,4,3.8146,400.997
t3dl_e,20360,0,1,20360,0,0,0,1
minsurfo,40806,81408,505,80.804,65650,1,1.31825,240.617
cfd1,70656,878854,4340,16.2802,100012,14,62.2767,2638.91
uni_chimera_i2_A_19,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_24,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_16,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_06,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_09,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_02,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_17,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_13,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_23,100000,348987,28,3571.43,105857,3,4.34074,5.76131
