Graph,Vertices,Edges,Longest_Path,Average_Wavefront_Size,Short_Edges,Median_Edge_Length,Average_Edge_Length,Average_Bottom_Level
bmwcra_1_metis,148770,5247616,314,473.79,149874,41,60.1971,127.205
bundle_adj_metis,513351,9847350,45,11407.8,786006,5,6.35739,12.5517
ldoor_metis,952203,22785136,196,4858.18,925840,21,29.1465,49.4995
boneS10_metis,914898,27276762,381,2401.31,899891,33,49.8797,99.7226
apache2_metis,715176,2051347,15,47678.4,1548169,1,1.56801,2.25581
Geo_1438_metis,1437960,30859365,498,2887.47,1439056,27,46.1467,142.252
oilpan_metis,73752,1761718,266,277.263,71539,22,31.0442,63.2914
ecology2_metis,999999,1997996,16,62499.9,1576709,1,1.40698,1.98317
PFlow_742_metis,742793,18197834,726,1023.13,707495,38,56.9387,202.301
bone010_metis,986703,35339811,744,1326.21,994293,46,71.7399,217.344
inline_1_metis,503712,18156315,325,1549.88,498445,45,62.9212,131.359
thermal2_metis,1228045,3676134,27,45483.1,1056345,3,4.54355,7.07686
x104_metis,108384,5029620,354,306.169,107484,41,63.5125,101.62
raefsky4_metis,19779,654416,177,111.746,19898,33,43.9549,74.267
m_t1_metis,97578,4827996,363,268.81,96911,50,73.4272,113.939
consph_metis,83334,2963573,337,247.282,80944,42,61.9999,134.078
Dubcova3_metis,146689,1744980,85,1725.75,139120,13,17.1713,27.647
shipsec8_metis,114919,3269240,252,456.028,112968,24,34.1291,52.2168
Queen_4147_metis,4147110,162676087,1110,3736.14,4229947,49,75.6797,265.468
Bump_2911_metis,2911419,62409240,594,4901.38,2873195,28,49.5164,165.826
msdoor_metis,415863,9912536,224,1856.53,404825,20,28.2492,47.6997
bmw7st_1_metis,141347,3599160,216,654.384,138249,21,32.8464,51.5816
hood_metis,220542,5273947,224,984.562,214856,21,27.4303,47.6741
pwtk_metis,217918,5708253,426,511.545,214604,21,31.9711,54.2153
crankseg_2_metis,63838,7042510,735,86.8544,63241,138,176.164,319.017
af_shell7_metis,504855,8542010,550,917.918,491430,13,21.9841,44.4082
s3dkt3m2_metis,90449,1831506,558,162.095,88390,15,26.8009,52.1005
shipsec1_metis,140874,3836265,294,479.163,138654,22,34.2186,59.1013
af_0_k101_metis,503625,8523525,825,610.455,490156,13,21.3351,40.3199
cant_metis,62451,1972466,187,333.963,71926,33,47.2848,107.396
gyro_metis,17361,501899,196,88.5765,17008,30,46.0242,85.7623
af_shell10_metis,1508065,25582130,1415,1065.77,1468400,13,21.9414,43.8763
Serena_metis,1391349,31570176,393,3540.33,1375066,31,48.3275,141.024
nasasrb_metis,54870,1311227,191,287.277,53502,23,32.7969,57.7818
Hook_1498_metis,1498023,29709711,369,4059.68,1423549,30,44.4679,107.039
Flan_1565_metis,1564794,57920625,609,2569.45,1586797,41,59.1382,134.864
Fault_639_metis,638802,13987881,438,1458.45,638002,28,47.5678,157.387
parabolic_fem_metis,525825,1574400,30,17527.5,463325,3,4.38858,6.33939
offshore_metis,259789,1991442,70,3711.27,249756,11,14.4746,24.6777
StocF-1465_metis,1465137,9770126,128,11446.4,1416618,10,14.4628,27.3356
Emilia_923_metis,923136,20041035,438,2107.62,923554,28,46.9272,134.356
ship_003_metis,121728,3982153,246,494.829,120113,31,47.6731,81.8768
tmt_sym_metis,726713,2177124,27,26915.3,615955,3,4.56827,7.54159
audikw_1_metis,943695,38354076,544,1734.73,937528,66,98.7407,241.497
boneS01_metis,127224,3293964,246,517.171,122714,29,43.1988,78.4598
G3_circuit_metis,1585478,3037674,17,93263.4,1996571,1,1.6315,2.47933
