Graph,Vertices,Edges,Longest_Path,Average_Wavefront_Size,Short_Edges,Median_Edge_Length,Average_Edge_Length,Average_Bottom_Level
Queen_4147_postChol,4147110,162676087,5760,719.984,4452481,90,475.885,2194.16
Emilia_923_postChol,923136,20041035,1806,511.15,931628,41,159.762,694.719
bone010_postChol,986703,35339811,2895,340.83,1082456,66,257.28,987.105
G3_circuit_postChol,1585478,3037674,18,88082.1,2188497,1,1.42624,2.00336
Bump_2911_postChol,2911419,62409240,2777,1048.4,2960864,41,211.252,985.27
hood_postChol,220542,5273947,210,1050.2,231130,16,24.6245,65.2011
audikw_1_postChol,943695,38354076,6836,138.048,975020,89,537.335,3272.06
consph_postChol,83334,2963573,1064,78.3214,84137,61,156.947,510.959
bmw7st_1_postChol,141347,3599160,415,340.595,142523,25,44.1572,103.657
ldoor_postChol,952203,22785136,287,3317.78,969572,18,26.0704,70.9961
Flan_1565_postChol,1564794,57920625,2271,689.033,1796257,56,193.571,777.321
Serena_postChol,1391349,31570176,1479,940.736,1442055,41,145.324,719.549
bmwcra_1_postChol,148770,5247616,1660,89.6205,162295,52,199.436,697.4
thermal2_postChol,1228045,3676134,26,47232.5,1096844,3,3.83407,7.14243
apache2_postChol,715176,2051347,9,79464,1888715,1,1.08671,1.60236
PFlow_742_postChol,742793,18197834,3094,240.075,709257,52,175.382,718.529
boneS01_postChol,127224,3293964,519,245.133,126925,31,61.5473,203.553
Geo_1438_postChol,1437960,30859365,1872,768.141,1474585,39,133.156,631.848
parabolic_fem_postChol,525825,1574400,27,19475,486418,3,3.61072,5.99596
StocF-1465_postChol,1465137,9770126,490,2990.08,1413423,11,27.8162,94.6693
inline_1_postChol,503712,18156315,741,679.773,511991,50,95.013,263.595
s3dkt3m2_postChol,90449,1831506,865,104.565,96200,14,51.2828,273.437
msdoor_postChol,415863,9912536,435,956.007,425340,19,28.2337,93.343
Fault_639_postChol,638802,13987881,1511,422.768,654947,40,134.06,503.775
ecology2_postChol,999999,1997996,7,142857,1073918,1,1.68252,2.61569
boneS10_postChol,914898,27276762,1756,521.013,945229,41,114.108,327.894
shipsec1_postChol,140874,3836265,542,259.915,146365,25,58.4524,213.372
af_0_k101_postChol,503625,8523525,2570,195.963,562671,10,50.7381,544.21
Dubcova3_postChol,146689,1744980,92,1594.45,144706,10,12.1878,27.046
af_shell7_postChol,504855,8542010,755,668.682,572128,11,34.2179,188.34
Hook_1498_postChol,1498023,29709711,2305,649.901,1498230,36,158.662,622.197
offshore_postChol,259789,1991442,233,1114.97,251568,12,23.599,89.4675
