
instance_CG_N60_K55_nzP0d12_p4_g1_l5.txt
Trivial,128259,1
cilk,62676,1471
BSPg,50796,468
BSPgHCCS,49558,302
ETF,71680,1714
BL-EST,99145,4444
source3_weights_cluster,57294,495
source3_weights_clusterHCCS,54140,495
0

instance_CG_N120_K35_nzP0d11_p4_g1_l5.txt
Trivial,243660,1
cilk,110359,1998
BSPg,87752,283
BSPgHCCS,86882,179
ETF,115554,1626
BL-EST,174126,6323
source3_weights_cluster,93748,289
source3_weights_clusterHCCS,91693,287
0

bicgstab_gyro_m_p4_g1_l5.txt
Trivial,95531,1
cilk,78874,5608
BSPg,89682,9372
BSPgHCCS,74519,5292
ETF,77610,5029
BL-EST,128261,7578
source3_weights_cluster,112866,9467
0

instance_kNN_N100_K50_nzP0d1_p4_g1_l5.txt
Trivial,152788,1
cilk,55579,520
BSPg,48102,59
BSPgHCCS,47656,59
ETF,83867,2414
BL-EST,159382,6108
source3_weights_cluster,52755,100
source3_weights_clusterHCCS,52208,100
0

instance_exp_N75_K60_nzP0d15_p4_g1_l5.txt
Trivial,147409,1
cilk,55713,671
BSPg,46583,69
BSPgHCCS,46213,69
ETF,82168,2338
BL-EST,154669,6064
source3_weights_cluster,54297,120
source3_weights_clusterHCCS,50296,120
0

instance_spmv_N300_nzP0d3_p4_g1_l5.txt
Trivial,107700,1
cilk,46134,229
BSPg,32160,3
BSPgHCCS,32052,3
ETF,32517,4
BL-EST,61500,444
source3_weights_cluster,32229,2
source3_weights_clusterHCCS,32136,2
0

hpcg_p4_g1_l5.txt
Trivial,209434,1
cilk,147494,7373
BSPg,139147,6245
BSPgHCCS,128574,6232
ETF,160294,7852
BL-EST,159532,6518
source3_weights_cluster,130023,7361
0

conjugate_gradient_gyro_m_p4_g1_l5.txt
Trivial,86819,1
cilk,85542,3891
BSPg,116237,19897
BSPgHCCS,92347,5972
ETF,79774,4059
BL-EST,107764,3986
source3_weights_cluster,120201,11939
0

instance_kNN_N250_K15_nzP0d1_p4_g1_l5.txt
Trivial,260483,1
cilk,96209,527
BSPg,85015,19
BSPgHCCS,84430,19
ETF,133656,1640
BL-EST,232944,5180
source3_weights_cluster,86676,30
source3_weights_clusterHCCS,85925,30
0

instance_exp_N100_K40_nzP0d2_p4_g1_l5.txt
Trivial,234114,1
cilk,86667,667
BSPg,74572,52
BSPgHCCS,74071,52
ETF,121300,2031
BL-EST,222008,6164
source3_weights_cluster,79100,80
source3_weights_clusterHCCS,78086,80
0

instance_spmv_N300_nzP0d3_p8_g1_l5.txt
Trivial,107700,1
cilk,25499,165
BSPg,16701,3
BSPgHCCS,16669,3
ETF,21085,4
BL-EST,54979,288
source3_weights_cluster,16774,2
source3_weights_clusterHCCS,16733,2
0

instance_CG_N60_K55_nzP0d12_p8_g1_l5.txt
Trivial,128259,1
cilk,50587,1617
BSPg,35524,490
BSPgHCCS,34166,326
ETF,68272,3243
BL-EST,94499,4308
source3_weights_cluster,40618,497
source3_weights_clusterHCCS,37434,442
0

instance_exp_N75_K60_nzP0d15_p8_g1_l5.txt
Trivial,147409,1
cilk,38948,816
BSPg,25749,77
BSPgHCCS,25268,77
ETF,76009,2372
