
instance_kNN_N100_K50_nzP0d1_p8_g1_l5_numa2.txt
Trivial,152788,1
cilk,60797,650
BSPg,40714,69
BSPgHCCS,38840,69
ETF,139417,3425
BL-EST,198250,6108
source3_weights_cluster,49160,100
source3_weights_clusterHCCS,47255,100
0

conjugate_gradient_gyro_m_p8_g1_l5_numa2.txt
Trivial,86819,1
cilk,101325,3985
BSPg,167576,19897
BSPgHCCS,109108,5972
ETF,120552,3983
BL-EST,126689,4010
source3_weights_cluster,135741,11940
0

instance_spmv_N300_nzP0d3_p8_g1_l5_numa2.txt
Trivial,107700,1
cilk,45432,165
BSPg,23053,3
BSPgHCCS,22983,3
ETF,43101,1198
BL-EST,94960,308
source3_weights_cluster,22737,2
source3_weights_clusterHCCS,22644,2
0

instance_exp_N75_K60_nzP0d15_p8_g1_l5_numa2.txt
Trivial,147409,1
cilk,63757,816
BSPg,39179,77
BSPgHCCS,37496,77
ETF,138591,3340
BL-EST,192552,5650
source3_weights_cluster,50260,120
source3_weights_clusterHCCS,44144,120
0

instance_kNN_N250_K15_nzP0d1_p8_g1_l5_numa2.txt
Trivial,260483,1
cilk,102909,594
BSPg,75315,22
BSPgHCCS,73260,22
ETF,252312,2740
BL-EST,299034,4409
source3_weights_cluster,75721,30
source3_weights_clusterHCCS,74825,30
0

instance_CG_N60_K55_nzP0d12_p8_g1_l5_numa2.txt
Trivial,128259,1
cilk,84979,1617
BSPg,57012,490
BSPgHCCS,52885,326
ETF,130805,1590
BL-EST,132808,3771
source3_weights_cluster,69177,497
source3_weights_clusterHCCS,59985,442
0

hpcg_p8_g1_l5_numa2.txt
Trivial,209434,1
cilk,162308,6400
BSPg,160572,6260
BSPgHCCS,155145,6245
ETF,224924,9418
BL-EST,245879,8014
source3_weights_cluster,169974,7873
0

instance_exp_N100_K40_nzP0d2_p8_g1_l5_numa2.txt
Trivial,234114,1
cilk,100498,949
BSPg,63158,62
BSPgHCCS,60817,62
ETF,216090,3159
BL-EST,256800,4583
source3_weights_cluster,69065,80
source3_weights_clusterHCCS,66489,80
0

instance_CG_N120_K35_nzP0d11_p8_g1_l5_numa2.txt
Trivial,243660,1
cilk,145388,2412
BSPg,90056,308
BSPgHCCS,86011,202
ETF,179803,1744
BL-EST,247456,4876
source3_weights_cluster,103961,317
source3_weights_clusterHCCS,95786,315
0

bicgstab_gyro_m_p8_g1_l5_numa2.txt
Trivial,95531,1
cilk,101751,5739
BSPg,125890,10097
