
instance_kNN_N30_K12_nzP0d15_p8_g1_l10.txt
Trivial,4591,1
cilk,1867,65
BSPg,1099,18
BSPgHCCS,1056,17
ETF,2989,125
BL-EST,6372,255
source3_weights_cluster,1339,24
source3_weights_clusterHCCS,1238,24
ILPIter,1039,16
ILPCS,1002,16
0

instance_exp_N30_K10_nzP0d18_p8_g1_l20.txt
Trivial,4621,1
cilk,3145,89
BSPg,1218,15
BSPgHCCS,1153,14
ETF,4094,118
BL-EST,9065,267
source3_weights_cluster,1450,20
source3_weights_clusterHCCS,1411,20
ILPIter,1152,14
ILPCS,1113,14
0

instance_kNN_N40_K5_nzP0d15_p8_g1_l2.txt
Trivial,2270,1
cilk,689,32
BSPg,495,8
BSPgHCCS,468,8
ETF,759,33
BL-EST,1751,100
source3_weights_cluster,568,10
source3_weights_clusterHCCS,524,10
ILPIter,468,8
ILPCS,462,8
0

instance_exp_N44_K5_nzP0d15_p8_g1_l10.txt
Trivial,4492,1
cilk,2356,92
BSPg,957,8
BSPgHCCS,925,8
ETF,2673,95
BL-EST,5241,200
source3_weights_cluster,1091,10
source3_weights_clusterHCCS,1019,10
ILPIter,924,8
ILPCS,904,8
0

instance_CG_N17_K8_nzP0d25_p8_g1_l10.txt
Trivial,4244,1
cilk,2670,104
BSPg,1849,65
BSPgHCCS,1668,42
ETF,3778,179
BL-EST,4473,187
source3_weights_cluster,2329,74
source3_weights_clusterHCCS,2140,71
ILPIter,1665,42
ILPCS,1658,42
0

instance_kNN_N30_K8_nzP0d15_p8_g1_l10.txt
Trivial,2755,1
cilk,1192,43
BSPg,678,13
BSPgHCCS,664,12
ETF,1733,75
BL-EST,3671,148
source3_weights_cluster,855,16
source3_weights_clusterHCCS,781,16
ILPIter,651,11
ILPCS,637,11
0

instance_exp_N30_K6_nzP0d15_p8_g1_l20.txt
Trivial,2423,1
cilk,1967,62
BSPg,693,10
BSPgHCCS,666,10
ETF,2231,68
BL-EST,4727,144
source3_weights_cluster,800,12
source3_weights_clusterHCCS,725,12
ILPIter,663,10
ILPCS,642,10
0

instance_kNN_N30_K10_nzP0d15_p8_g1_l10.txt
Trivial,3673,1
cilk,1523,54
BSPg,903,16
BSPgHCCS,875,15
ETF,2331,97
BL-EST,5111,205
source3_weights_cluster,1097,20
source3_weights_clusterHCCS,1010,20
ILPIter,859,14
ILPCS,825,14
0

instance_kNN_N50_K4_nzP0d18_p8_g1_l10.txt
Trivial,3234,1
cilk,1327,44
BSPg,701,6
BSPgHCCS,683,6
ETF,1380,40
BL-EST,3106,111
source3_weights_cluster,830,8
source3_weights_clusterHCCS,760,8
ILPIter,666,6
ILPCS,655,6
0

instance_spmv_N65_nzP0d18_p8_g1_l10.txt
Trivial,3013,1
cilk,1224,38
BSPg,532,3
BSPgHCCS,530,3
ETF,648,3
BL-EST,1809,61
source3_weights_cluster,565,2
source3_weights_clusterHCCS,513,2
ILPIter,513,2
0

instance_spmv_N70_nzP0d19_p8_g1_l2.txt
Trivial,3630,1
cilk,1108,41
BSPg,629,3
BSPgHCCS,611,3
ETF,667,4
BL-EST,1626,65
source3_weights_cluster,617,2
source3_weights_clusterHCCS,604,2
ILPIter,604,2
0

instance_kNN_N50_K4_nzP0d18_p8_g1_l2.txt
Trivial,3234,1
cilk,983,44
BSPg,661,6
BSPgHCCS,643,6
ETF,1068,40
BL-EST,2226,111
source3_weights_cluster,774,8
source3_weights_clusterHCCS,704,8
ILPIter,625,6
ILPCS,617,6
0

instance_exp_N30_K6_nzP0d15_p8_g1_l2.txt
Trivial,2423,1
cilk,869,62
BSPg,531,10
BSPgHCCS,504,10
ETF,1025,68
BL-EST,2153,144
source3_weights_cluster,602,12
source3_weights_clusterHCCS,527,12
ILPIter,499,10
ILPCS,478,10
0

instance_CG_N15_K7_nzP0d25_p8_g1_l10.txt
Trivial,3201,1
cilk,2044,83
BSPg,1538,59
BSPgHCCS,1395,39
ETF,2986,143
BL-EST,3359,141
source3_weights_cluster,1868,65
source3_weights_clusterHCCS,1690,62
ILPIter,1393,39
ILPCS,1386,39
0

instance_exp_N30_K10_nzP0d18_p8_g1_l2.txt
Trivial,4621,1
cilk,1561,89
BSPg,966,15
BSPgHCCS,919,14
ETF,1988,118
BL-EST,4277,267
source3_weights_cluster,1108,20
source3_weights_clusterHCCS,1069,20
ILPIter,918,14
ILPCS,879,14
0

instance_CG_N9_K9_nzP0d35_p8_g1_l10.txt
Trivial,2288,1
cilk,1845,83
BSPg,1591,82
BSPgHCCS,1336,50
ETF,2621,131
BL-EST,2570,110
source3_weights_cluster,1936,83
source3_weights_clusterHCCS,1688,74
ILPIter,1320,50
ILPCS,1314,50
0

instance_CG_N9_K9_nzP0d35_p8_g1_l2.txt
Trivial,2288,1
cilk,1189,83
BSPg,1031,82
BSPgHCCS,944,50
ETF,1581,131
BL-EST,1698,110
source3_weights_cluster,1288,83
source3_weights_clusterHCCS,1104,74
ILPIter,936,50
ILPCS,930,50
0

instance_spmv_N65_nzP0d18_p8_g1_l20.txt
Trivial,3013,1
cilk,1594,38
BSPg,552,3
BSPgHCCS,550,3
ETF,668,3
BL-EST,2409,61
source3_weights_cluster,575,2
source3_weights_clusterHCCS,523,2
ILPIter,523,2
0

instance_CG_N21_K5_nzP0d3_p8_g1_l10.txt
Trivial,4161,1
cilk,2496,93
BSPg,1594,46
BSPgHCCS,1441,31
ETF,3157,135
BL-EST,4209,173
source3_weights_cluster,1886,47
source3_weights_clusterHCCS,1710,45
ILPIter,1439,31
ILPCS,1416,31
0

instance_exp_N30_K8_nzP0d15_p8_g1_l20.txt
Trivial,3179,1
cilk,2360,72
BSPg,877,12
BSPgHCCS,840,12
ETF,2941,90
BL-EST,6359,193
source3_weights_cluster,1066,16
source3_weights_clusterHCCS,961,16
ILPIter,839,12
ILPCS,814,12
0

instance_CG_N15_K7_nzP0d25_p8_g1_l20.txt
Trivial,3201,1
cilk,2864,83
BSPg,2008,59
BSPgHCCS,1775,39
ETF,4406,143
BL-EST,4759,141
source3_weights_cluster,2498,65
source3_weights_clusterHCCS,2300,62
ILPIter,1773,39
ILPCS,1765,39
0

instance_exp_N30_K6_nzP0d15_p8_g1_l10.txt
Trivial,2423,1
cilk,1357,62
BSPg,603,10
BSPgHCCS,576,10
ETF,1561,68
BL-EST,3297,144
source3_weights_cluster,690,12
source3_weights_clusterHCCS,615,12
ILPIter,574,10
ILPCS,552,10
0

instance_CG_N12_K10_nzP0d2_p8_g1_l20.txt
Trivial,3144,1
cilk,3313,101
BSPg,2510,82
