
instance_CG_N7_K7_nzP0d2_p8_g1_l5.txt
Trivial,1174,1
refined,1048,5
cilk,1955,24
BSPg,1874,57
BSPgHCCS,1247,5
ETF,1482,20
BL-EST,1470,16
ILPiter,1247,5
ILPCS,1048,5
0

instance_exp_N40_K5_nzP0d15_p8_g1_l5.txt
Trivial,3752,1
refined,1272,37
cilk,4431,41
BSPg,4067,69
BSPgHCCS,2926,39
ETF,4675,66
BL-EST,4842,57
source3_weights_cluster,4953,61
source3_weights_clusterHCCS,3056,35
ILPiter,2924,39
ILPCS,1267,37
0

instance_CG_N5_K4_nzP0d4_p8_g1_l5_numa4.txt
Trivial,556,1
refined,556,1
cilk,1470,7
BSPg,2433,33
BSPgHCCS,556,1
ETF,558,2
BL-EST,558,2
ILP,556,1
0

instance_spmv_N60_nzP0d15_p8_g1_l5_numa4.txt
Trivial,2160,1
refined,783,3
cilk,6930,10
BSPg,4528,4
BSPgHCCS,2957,3
ETF,6412,5
BL-EST,8473,8
source3_weights_cluster,19046,3
source3_weights_clusterHCCS,1824,3
ILPiter,1688,3
ILPCS,783,3
0

instance_exp_N80_K6_nzP0d15_p8_g1_l5_numa3.txt
Trivial,17712,1
refined,7989,66
cilk,69134,95
BSPg,58139,102
BSPgHCCS,33402,68
ETF,83575,174
BL-EST,81701,195
ILPiter,33239,68
0

instance_spmv_N60_nzP0d15_p8_g1_l5.txt
Trivial,2160,1
refined,357,4
cilk,972,10
BSPg,727,4
BSPgHCCS,646,4
ETF,927,5
BL-EST,1239,9
source3_weights_cluster,2966,3
source3_weights_clusterHCCS,1145,3
ILPiter,628,4
ILPCS,355,4
0

instance_CG_N24_K22_nzP0d2_p8_g1_l5_numa3.txt
Trivial,16296,1
refined,16099,19
cilk,75558,222
BSPg,90767,376
BSPgHCCS,27997,34
ETF,31625,101
BL-EST,30056,273
ILPiter,26186,34
ILPCS,16056,19
0

instance_exp_N60_K17_nzP0d13_p8_g1_l5_numa4.txt
Trivial,23336,1
refined,13741,60
cilk,119627,107
BSPg,88097,104
BSPgHCCS,57969,63
ETF,161905,314
BL-EST,142939,329
source3_weights_cluster,122497,107
source3_weights_clusterHCCS,65645,61
ILPiter,57505,63
0

instance_exp_N15_K9_nzP0d15_p8_g1_l5_numa4.txt
Trivial,801,1
refined,801,1
cilk,1846,19
BSPg,5316,33
BSPgHCCS,801,1
ETF,1879,4
BL-EST,1822,12
ILP,801,1
0

instance_spmv_N120_nzP0d18_p8_g1_l5_numa4.txt
Trivial,10292,1
refined,2954,2
cilk,39963,22
BSPg,18989,2
BSPgHCCS,17073,2
ETF,21155,3
BL-EST,42793,13
ILPiter,17073,2
0

