
instance_CG_N4_K2_nzP0d5_p4_g1_l5.txt
Trivial,206,1
cilk,185,15
BSPg,170,17
ETF,242,21
BL-EST,247,18
source3_weights_cluster,230,20
ILPInit,169,9
0

instance_exp_N10_K7_nzP0d25_p4_g3_l5.txt
Trivial,391,1
cilk,417,17
BSPg,306,9
ETF,459,20
BL-EST,641,23
source3_weights_cluster,413,12
ILPInit,247,15
0

instance_kNN_N15_K7_nzP0d2_p4_g5_l5.txt
Trivial,706,1
cilk,841,25
BSPg,596,8
ETF,1008,32
BL-EST,1443,50
source3_weights_cluster,870,14
ILPInit,501,24
0

instance_spmv_N15_nzP0d25_p4_g5_l5.txt
Trivial,247,1
cilk,325,9
BSPg,175,3
ETF,228,6
BL-EST,352,13
source3_weights_cluster,163,2
ILPInit,165,12
0

instance_kNN_N15_K7_nzP0d2_p16_g5_l5.txt
Trivial,706,1
cilk,545,17
BSPg,455,14
ETF,1031,33
BL-EST,1683,65
source3_weights_cluster,506,14
ILPInit,1403,333
0

instance_CG_N4_K2_nzP0d5_p16_g3_l5.txt
Trivial,206,1
cilk,272,15
BSPg,267,24
ETF,281,16
BL-EST,293,14
source3_weights_cluster,307,19
ILPInit,366,115
0

instance_spmv_N15_nzP0d25_p8_g1_l5.txt
Trivial,247,1
cilk,114,9
BSPg,62,3
ETF,75,4
BL-EST,135,10
source3_weights_cluster,67,2
ILPInit,109,41
0

instance_kNN_N15_K7_nzP0d2_p4_g1_l5.txt
Trivial,706,1
cilk,425,25
BSPg,304,8
ETF,411,19
BL-EST,866,48
source3_weights_cluster,406,14
ILPInit,289,23
0

instance_CG_N4_K2_nzP0d5_p16_g5_l5.txt
Trivial,206,1
cilk,370,15
BSPg,353,24
ETF,372,16
BL-EST,375,16
source3_weights_cluster,407,19
ILPInit,441,115
0

instance_exp_N20_K15_nzP0d15_p4_g5_l5.txt
Trivial,2256,1
cilk,2211,52
BSPg,1593,16
ETF,3349,117
BL-EST,4457,154
source3_weights_cluster,2403,29
ILPInit,1510,76
0

instance_spmv_N50_nzP0d1_p4_g5_l5.txt
Trivial,998,1
cilk,1149,22
BSPg,612,3
ETF,792,13
BL-EST,1193,35
source3_weights_cluster,541,2
ILPInit,660,41
0

instance_kNN_N30_K12_nzP0d1_p16_g3_l5.txt
Trivial,2813,1
cilk,1337,49
BSPg,753,19
ETF,2785,116
BL-EST,4801,205
source3_weights_cluster,1063,24
ILPInit,4600,1275
0

instance_spmv_N10_nzP0d3_p16_p8_g5_l5.txt
Trivial,110,1
cilk,100,7
BSPg,63,3
ETF,75,4
BL-EST,96,6
source3_weights_cluster,51,2
ILPInit,73,19
0

instance_CG_N15_K10_nzP0d2_p4_g3_l5.txt
Trivial,4076,1
cilk,3933,111
BSPg,3118,86
ETF,4596,161
BL-EST,5133,168
source3_weights_cluster,3974,92
ILPInit,3102,141
0

instance_exp_N20_K15_nzP0d15_p16_g3_l5.txt
Trivial,2256,1
cilk,1532,74
BSPg,713,22
ETF,2342,110
BL-EST,3624,151
source3_weights_cluster,974,30
ILPInit,3977,1059
0

instance_spmv_N10_nzP0d3_p16_p4_g1_l5.txt
Trivial,110,1
cilk,94,8
BSPg,55,3
ETF,59,4
BL-EST,85,7
source3_weights_cluster,51,2
ILPInit,44,6
0

instance_spmv_N10_nzP0d3_p16_p8_g3_l5.txt
Trivial,110,1
cilk,100,7
BSPg,63,3
ETF,75,4
BL-EST,96,6
source3_weights_cluster,51,2
ILPInit,73,19
0

instance_spmv_N15_nzP0d25_p16_g3_l5.txt
Trivial,247,1
cilk,157,7
BSPg,70,3
ETF,80,4
BL-EST,158,7
source3_weights_cluster,62,2
ILPInit,296,146
0

instance_kNN_N15_K7_nzP0d2_p8_g1_l5.txt
Trivial,706,1
cilk,364,27
BSPg,240,13
ETF,391,27
BL-EST,827,50
source3_weights_cluster,277,14
ILPInit,337,91
0

instance_spmv_N50_nzP0d1_p8_g1_l5.txt
Trivial,998,1
cilk,409,22
BSPg,186,3
ETF,226,5
BL-EST,527,34
source3_weights_cluster,188,2
ILPInit,403,157
0

instance_kNN_N4_K2_nzP0d5_p16_g3_l5.txt
Trivial,23,1
cilk,38,4
BSPg,38,5
ETF,40,4
BL-EST,35,3
source3_weights_cluster,40,4
ILPInit,37,15
0

instance_spmv_N15_nzP0d25_p16_g5_l5.txt
Trivial,247,1
cilk,223,7
BSPg,96,3
ETF,104,4
BL-EST,240,7
source3_weights_cluster,78,2
ILPInit,379,147
0

instance_exp_N20_K15_nzP0d15_p4_g1_l5.txt
Trivial,2256,1
cilk,1147,52
BSPg,853,16
