
instance_CG_N12_K6_nzP0d3_p8_g1_l5_numa2.txt
Trivial,2248,1
cilk,1990,63
BSPg,1594,52
BSPgHCCS,1400,35
ETF,2209,81
BL-EST,2599,98
source3_weights_cluster,1985,56
source3_weights_clusterHCCS,1593,50
ILPIter,1373,35
ILPCS,1353,35
0

instance_exp_N5_K3_nzP0d4_p8_g1_l5_numa3.txt
Trivial,119,1
cilk,212,9
BSPg,152,7
BSPgHCCS,126,7
ETF,220,9
BL-EST,283,12
source3_weights_cluster,177,6
source3_weights_clusterHCCS,96,5
ILPIter,73,4
ILPCS,73,4
0

instance_CG_N9_K9_nzP0d35_p8_g1_l5_numa2.txt
Trivial,2288,1
cilk,2348,83
BSPg,1955,82
BSPgHCCS,1710,52
ETF,2378,102
BL-EST,2686,106
source3_weights_cluster,2460,83
source3_weights_clusterHCCS,2029,74
ILPIter,1656,52
ILPCS,1655,52
0

instance_kNN_N30_K8_nzP0d15_p8_g1_l5_numa2.txt
Trivial,2755,1
cilk,1659,43
BSPg,1012,13
BSPgHCCS,930,12
ETF,2879,99
BL-EST,4140,169
source3_weights_cluster,1393,16
source3_weights_clusterHCCS,1135,16
ILPIter,930,12
ILPCS,892,12
0

instance_CG_N5_K4_nzP0d4_p8_g1_l5_numa4.txt
Trivial,556,1
cilk,1704,32
BSPg,1349,40
BSPgHCCS,1105,26
ETF,1040,30
BL-EST,1557,37
source3_weights_cluster,1528,37
source3_weights_clusterHCCS,791,27
ILPIter,738,27
ILPCS,693,27
0

instance_spmv_N60_nzP0d15_p8_g1_l5_numa4.txt
Trivial,2160,1
cilk,3638,38
BSPg,1398,3
BSPgHCCS,1238,3
ETF,2087,8
BL-EST,4291,44
source3_weights_cluster,1045,2
source3_weights_clusterHCCS,960,2
ILPIter,960,2
0

instance_kNN_N4_K3_nzP0d5_p8_g1_l5_numa4.txt
Trivial,85,1
cilk,256,7
BSPg,235,7
BSPgHCCS,153,6
ETF,268,8
BL-EST,248,7
source3_weights_cluster,235,6
source3_weights_clusterHCCS,97,5
ILP,74,4
