
instance_CG_N9_K5_nzP0d2_p4_g1_l5.txt
Trivial,1121,1
cilk,824,44
BSPg,710,42
BSPgHCCS,621,26
ETF,1053,73
BL-EST,962,50
source3_weights_cluster,882,47
source3_weights_clusterHCCS,720,37
ILPInit,675,42
ILPInitHCCS,649,29
ILPIter,617,26
ILPCS,611,26
0

instance_exp_N15_K9_nzP0d15_p4_g1_l5.txt
Trivial,801,1
cilk,477,29
BSPg,359,11
BSPgHCCS,324,10
ETF,531,29
BL-EST,842,46
source3_weights_cluster,479,18
source3_weights_clusterHCCS,402,18
ILPInit,337,30
ILPInitHCCS,328,12
ILPIter,313,10
ILPCS,312,10
0

instance_kNN_N20_K7_nzP0d15_p4_g1_l5.txt
Trivial,1120,1
cilk,583,27
BSPg,437,8
BSPgHCCS,419,8
ETF,610,23
BL-EST,1282,72
source3_weights_cluster,554,14
source3_weights_clusterHCCS,501,14
ILPInit,429,39
ILPInitHCCS,433,14
ILPIter,407,8
ILPCS,402,8
0

instance_kNN_N50_K4_nzP0d18_p4_g1_l5.txt
Trivial,3234,1
cilk,1521,47
BSPg,1147,5
BSPgHCCS,1127,5
ETF,1623,36
BL-EST,2866,126
source3_weights_cluster,1298,8
source3_weights_clusterHCCS,1218,8
ILPInit,1240,111
ILPInitHCCS,1111,11
ILPIter,1104,11
ILPCS,1089,11
0

instance_kNN_N4_K3_nzP0d5_p4_g1_l5.txt
Trivial,85,1
cilk,77,7
BSPg,56,4
BSPgHCCS,52,4
ETF,82,8
BL-EST,92,7
source3_weights_cluster,75,5
source3_weights_clusterHCCS,59,5
ILPInit,56,5
ILPInitHCCS,55,4
ILP,50,4
ILPIter,49,4
ILPCS,49,4
31.92896051470317

instance_kNN_N30_K12_nzP0d15_p4_g1_l5.txt
Trivial,4591,1
cilk,2127,64
BSPg,1625,13
BSPgHCCS,1566,13
ETF,2628,106
BL-EST,5238,265
source3_weights_cluster,1963,24
source3_weights_clusterHCCS,1822,24
ILPInit,1792,141
ILPInitHCCS,1664,31
ILPIter,1562,13
ILPCS,1555,13
0

instance_CG_N4_K1_nzP0d35_p4_g1_l5.txt
Trivial,137,1
cilk,112,9
BSPg,95,8
BSPgHCCS,83,6
ETF,127,11
BL-EST,173,14
source3_weights_cluster,122,10
source3_weights_clusterHCCS,104,9
ILPInit,79,6
ILPInitHCCS,79,5
ILP,79,6
ILPIter,79,6
ILPCS,79,6
39.64548534300468

instance_exp_N10_K8_nzP0d2_p4_g1_l5.txt
Trivial,564,1
cilk,376,25
BSPg,253,10
BSPgHCCS,241,10
ETF,376,23
BL-EST,577,30
source3_weights_cluster,382,16
source3_weights_clusterHCCS,310,16
ILPInit,247,21
ILPInitHCCS,245,10
ILPIter,236,10
ILPCS,235,10
0

instance_CG_N15_K7_nzP0d25_p4_g1_l5.txt
Trivial,3201,1
cilk,1985,89
BSPg,1612,62
BSPgHCCS,1525,41
ETF,2350,121
BL-EST,2712,140
source3_weights_cluster,1957,65
source3_weights_clusterHCCS,1722,58
ILPInit,1690,108
ILPInitHCCS,1657,58
ILPIter,1467,41
ILPCS,1450,41
0

instance_CG_N5_K4_nzP0d4_p4_g1_l5.txt
Trivial,556,1
cilk,440,28
BSPg,400,32
BSPgHCCS,356,21
ETF,609,46
BL-EST,554,32
source3_weights_cluster,516,37
source3_weights_clusterHCCS,431,30
ILPInit,469,21
ILPInitHCCS,435,17
ILPIter,351,21
ILPCS,349,21
0

instance_exp_N30_K10_nzP0d18_p4_g1_l5.txt
Trivial,4621,1
cilk,2210,79
BSPg,1612,12
BSPgHCCS,1566,12
ETF,2659,105
BL-EST,5370,284
source3_weights_cluster,1794,20
source3_weights_clusterHCCS,1728,20
ILPInit,2027,140
ILPInitHCCS,1689,28
ILPIter,1564,12
ILPCS,1557,12
0

instance_CG_N17_K8_nzP0d25_p4_g1_l5.txt
Trivial,4244,1
cilk,2490,99
BSPg,2036,64
BSPgHCCS,1896,42
ETF,3044,151
BL-EST,3608,186
source3_weights_cluster,2455,74
source3_weights_clusterHCCS,2257,67
ILPInit,2220,143
ILPInitHCCS,2135,67
ILPIter,1873,42
ILPCS,1854,42
0

instance_spmv_N40_nzP0d15_p4_g1_l5.txt
Trivial,968,1
cilk,486,18
BSPg,319,3
BSPgHCCS,312,3
ETF,327,3
BL-EST,680,38
source3_weights_cluster,314,2
source3_weights_clusterHCCS,293,2
ILP,292,2
ILPIter,283,2
247.00000000000009

instance_exp_N15_K4_nzP0d2_p4_g1_l5.txt
Trivial,566,1
cilk,381,24
BSPg,248,7
BSPgHCCS,228,6
ETF,323,15
BL-EST,631,34
source3_weights_cluster,282,8
source3_weights_clusterHCCS,258,8
ILPInit,236,21
ILPInitHCCS,231,9
ILPIter,219,6
ILPCS,215,6
0

